ID,Title,Release Year,Moby Score,URL,Genres
71889,'Allo 'Allo! Cartoon Fun!,1993,6.01,https://www.mobygames.com/game/71889/allo-allo-cartoon-fun/,"Action, Side view, Platform, Licensed, World War II"
51858,'Nam 1965-1975,1991,7.42,https://www.mobygames.com/game/51858/nam-1965-1975/,"Strategy / tactics, Top-down, Historical events, Managerial / business simulation, Turn-based"
7457,...A Personal Nightmare,1989,7.48,https://www.mobygames.com/game/7457/a-personal-nightmare/,"Adventure, 1st-person, Real-time, Horror, Fixed / flip-screen, Graphic adventure, Point and select, Europe"
2236,007: James Bond - The Stealth Affair,1990,8.01,https://www.mobygames.com/game/2236/007-james-bond-the-stealth-affair/,"Adventure, Puzzle elements, Detective / mystery, Licensed, Spy / espionage, Graphic adventure, Regional differences"
4586,007: Licence to Kill,1989,6.58,https://www.mobygames.com/game/4586/007-licence-to-kill/,"Action, Racing / Driving, Arcade, Top-down, Shooter, Naval / watercraft, Helicopter, Licensed, Spy / espionage"
75346,1 Across 2 Down,1990,,https://www.mobygames.com/game/75346/1-across-2-down/,"Top-down, Licensed, Puzzle, Text-based / Spreadsheet, Word construction"
20485,10 Great Games,1991,,https://www.mobygames.com/game/20485/10-great-games/,Compilation
74113,10 Little Robots,1987,,https://www.mobygames.com/game/74113/10-little-robots/,"Sci-fi / futuristic, Educational, Math / logic, Typing, Pre-school / toddler"
32641,10 Megahits Vol. 2,1990,,https://www.mobygames.com/game/32641/10-megahits-vol-2/,Compilation
33175,10 Megahits Vol. 3,1991,,https://www.mobygames.com/game/33175/10-megahits-vol-3/,Compilation
71974,10 Out Of 10 English,1993,,https://www.mobygames.com/game/71974/10-out-of-10-english/,"Action, Educational, Reading / writing, Puzzle, Mini-games"
12691,1000 Miglia,1991,5.9,https://www.mobygames.com/game/12691/1000-miglia/,"Simulation, Sports, Racing / Driving, Behind view, Automobile, Track racing, Interwar"
19086,1000cc Turbo,1990,,https://www.mobygames.com/game/19086/1000cc-turbo/,"Racing / Driving, Motorcycle, Behind view"
35197,16 Bit Hit Machine,1990,,https://www.mobygames.com/game/35197/16-bit-hit-machine/,Compilation
2068,1869,1992,7.51,https://www.mobygames.com/game/2068/1869/,"Simulation, Strategy / tactics, Managerial / business simulation, Turn-based, Point and select, Industrial Age"
8560,1943: The Battle of Midway,1988,4.9,https://www.mobygames.com/game/8560/1943-the-battle-of-midway/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
73549,1990 Amiga Pak,1989,,https://www.mobygames.com/game/73549/1990-amiga-pak/,"Action, Compilation"
55460,1990: Die 1993'er Edition,1993,,https://www.mobygames.com/game/55460/1990-die-1993er-edition/,Simulation
12578,1st Division Manager,1992,,https://www.mobygames.com/game/12578/1st-division-manager/,"Sports, Top-down, Managerial / business simulation, Football (European) / Soccer"
17745,1st Person Pinball,1989,,https://www.mobygames.com/game/17745/1st-person-pinball/,"Action, Top-down, Pinball, Behind view"
20487,2 Hot 2 Handle,1991,,https://www.mobygames.com/game/20487/2-hot-2-handle/,Compilation
6396,"20,000 Leagues Under the Sea",1988,5.97,https://www.mobygames.com/game/6396/20000-leagues-under-the-sea/,"Adventure, 1st-person, Puzzle elements, Licensed, Steampunk"
