ID,Title,Release Year,Moby Score,URL,Genres
222604,!Bingo Granny!,2002,,https://www.mobygames.com/game/222604/bingo-granny/,"Simulation, Turn-based, Text-based / Spreadsheet, Survival, Text parser, Contemporary"
41732,"The $100,000 Pyramid",1988,,https://www.mobygames.com/game/41732/the-100000-pyramid/,"Action, 1st-person, Game show / trivia / quiz"
175056,'Ghini Run,2002,,https://www.mobygames.com/game/175056/ghini-run/,"Racing / Driving, Arcade, Behind view, Direct control, Automobile, Street racing, Contemporary"
51858,'Nam 1965-1975,1991,,https://www.mobygames.com/game/51858/nam-1965-1975/,"Strategy / tactics, Top-down, Historical events, Managerial / business simulation, Turn-based"
7457,...A Personal Nightmare,1989,,https://www.mobygames.com/game/7457/a-personal-nightmare/,"Adventure, 1st-person, Real-time, Horror, Fixed / flip-screen, Graphic adventure, Point and select, Europe"
222428,.386 Spys,1989,,https://www.mobygames.com/game/222428/386-spys/,"Action, Top-down, Side view, Naval / watercraft, Spy / espionage, 2D scrolling, Automobile"
2236,007: James Bond - The Stealth Affair,1990,7.16,https://www.mobygames.com/game/2236/007-james-bond-the-stealth-affair/,"Adventure, Puzzle elements, Detective / mystery, Licensed, Spy / espionage, Graphic adventure, Regional differences"
4586,007: Licence to Kill,1989,6.13,https://www.mobygames.com/game/4586/007-licence-to-kill/,"Action, Racing / Driving, Arcade, Top-down, Shooter, Naval / watercraft, Helicopter, Licensed, Spy / espionage"
1115,1 Ton,1996,,https://www.mobygames.com/game/1115/1-ton/,"Action, Shooter"
213403,10 for $10 Pak,1997,,https://www.mobygames.com/game/213403/10-for-10-pak/,Compilation
20485,10 Great Games,1991,,https://www.mobygames.com/game/20485/10-great-games/,Compilation
37284,10 Great Games,1994,,https://www.mobygames.com/game/37284/10-great-games/,Compilation
74113,10 Little Robots,1983,,https://www.mobygames.com/game/74113/10-little-robots/,"Sci-fi / futuristic, Educational, Math / logic, Typing, Pre-school / toddler"
32641,10 Megahits Vol. 2,1990,,https://www.mobygames.com/game/32641/10-megahits-vol-2/,Compilation
33175,10 Megahits Vol. 3,1991,,https://www.mobygames.com/game/33175/10-megahits-vol-3/,Compilation
49146,10 Tons of Games: Mega Collection 1,1997,,https://www.mobygames.com/game/49146/10-tons-of-games-mega-collection-1/,Compilation
40112,10 Top-Hits: Super-Spiele,1997,,https://www.mobygames.com/game/40112/10-top-hits-super-spiele/,Compilation
