ID,Title,Release Year,Moby Score,URL,Genres
3969,007: The World Is Not Enough,2000,7.66,https://www.mobygames.com/game/3969/007-the-world-is-not-enough/,"Action, 1st-person, Shooter, Licensed, Spy / espionage, Direct control"
8384,1080° Snowboarding,1998,8.15,https://www.mobygames.com/game/8384/1080-snowboarding/,"Sports, 1st-person, Snowboarding / skiing, Behind view"
10240,40 Winks,2019,7.55,https://www.mobygames.com/game/10240/40-winks/,"Action, Platform, Fantasy, Behind view"
201201,64 Hanafuda: Tenshi no Yakusoku,1999,,https://www.mobygames.com/game/201201/64-hanafuda-tenshi-no-yakusoku/,"Strategy / tactics, Top-down, Cards / tiles, Turn-based, Fixed / flip-screen, Point and select, Turn-based strategy (TBS), Japan (Modern/Futuristic)"
201202,64 Trump Collection: Alice no Waku Waku Trump World,1998,,https://www.mobygames.com/game/201202/64-trump-collection-alice-no-waku-waku-trump-world/,"Strategy / tactics, Top-down, Side view, Cards / tiles, Fantasy, Licensed, Turn-based, Fixed / flip-screen, Point and select, Turn-based strategy (TBS)"
55998,64 Ōzumō,1997,,https://www.mobygames.com/game/55998/64-ozumo/,"Sports, Side view, Fighting, Wrestling, Anime / Manga"
201230,64 Ōzumō 2,1999,,https://www.mobygames.com/game/201230/64-ozumo-2/,"Sports, Real-time, Side view, Fighting, Wrestling, Anime / Manga, Direct control"
4923,AeroFighters Assault,1997,5.87,https://www.mobygames.com/game/4923/aerofighters-assault/,"Action, Simulation, Flight / aviation, Shooter, Behind view"
8450,AeroGauge,1997,5.6,https://www.mobygames.com/game/8450/aerogauge/,"Action, Racing / Driving, Sci-fi / futuristic, Behind view"
201231,AI Shōgi 3,1998,,https://www.mobygames.com/game/201231/ai-shogi-3/,"Strategy / tactics, Top-down, Board game, Cards / tiles, Turn-based, Fixed / flip-screen, Point and select"
8444,Aidyn Chronicles: The First Mage,2000,5.72,https://www.mobygames.com/game/8444/aidyn-chronicles-the-first-mage/,"Role-playing (RPG), Fantasy, Behind view"
36275,Air Boarder 64,1998,5.56,https://www.mobygames.com/game/36275/air-boarder-64/,"Action, Sports, Tricks / stunts, Behind view, Direct control"
8451,All Star Tennis '99,1999,6.44,https://www.mobygames.com/game/8451/all-star-tennis-99/,"Sports, Tennis, Licensed, Behind view, Diagonal-down"
6534,All-Star Baseball 2000,1999,8.14,https://www.mobygames.com/game/6534/all-star-baseball-2000/,"Sports, Baseball, Licensed"
6535,All-Star Baseball 2001,2000,7.84,https://www.mobygames.com/game/6535/all-star-baseball-2001/,"Sports, Baseball, Licensed, 3rd-person (Other)"
6533,All-Star Baseball 99,1998,7.6,https://www.mobygames.com/game/6533/all-star-baseball-99/,"Sports, Baseball, Licensed, Behind view, Diagonal-down"
5600,Armorines: Project S.W.A.R.M.,1999,6.65,https://www.mobygames.com/game/5600/armorines-project-swarm/,"Action, 1st-person, Sci-fi / futuristic, Shooter, Regional differences"
3863,Army Men: Air Attack,2000,7.16,https://www.mobygames.com/game/3863/army-men-air-attack/,"Action, Flight / aviation, Shooter"
4187,Army Men: Sarge's Heroes,1999,6.08,https://www.mobygames.com/game/4187/army-men-sarges-heroes/,"Action, Shooter, Behind view, Direct control"
4188,Army Men: Sarge's Heroes 2,2000,6.18,https://www.mobygames.com/game/4188/army-men-sarges-heroes-2/,"Action, Shooter, 3rd-person (Other)"
6246,Asteroids Hyper 64,1999,5.53,https://www.mobygames.com/game/6246/asteroids-hyper-64/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen"
4839,automobili Lamborghini,1997,6.94,https://www.mobygames.com/game/4839/automobili-lamborghini/,"Racing / Driving, Behind view, Vehicle simulator, Automobile, Street racing"
56016,Bakushō Jinsei 64: Mezase! Resort Ō,1998,,https://www.mobygames.com/game/56016/bakusho-jinsei-64-mezase-resort-o/,"Strategy / tactics, Board game, Licensed, 3rd-person (Other)"
6485,Bangai-O,1999,7.0,https://www.mobygames.com/game/6485/bangai-o/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, Anime / Manga, Mecha / giant robot"
3583,Banjo-Kazooie,1998,8.43,https://www.mobygames.com/game/3583/banjo-kazooie/,"Action, Platform, Puzzle elements, Fantasy, 3rd-person (Other), Direct control"
3993,Banjo-Tooie,2000,8.44,https://www.mobygames.com/game/3993/banjo-tooie/,"Action, Platform, Metroidvania, Puzzle elements, Behind view"
201274,Bass Rush: ECOGEAR Powerworm Championship,2000,,https://www.mobygames.com/game/201274/bass-rush-ecogear-powerworm-championship/,"Sports, Real-time, Fishing, 3rd-person (Other), Cinematic camera, Direct control"
36512,BassMasters 2000,1999,6.28,https://www.mobygames.com/game/36512/bassmasters-2000/,"Simulation, 1st-person, Licensed, 3rd-person (Other)"
6438,Batman Beyond: Return of the Joker,2000,4.31,https://www.mobygames.com/game/6438/batman-beyond-return-of-the-joker/,"Action, Side view, Licensed, Beat 'em up / brawler"
