ID,Title,Release Year,Moby Score,URL,Genres
198441,007: Legends,2012,4.94,https://www.mobygames.com/game/198441/007-legends/,"Action, 1st-person, Shooter, Licensed, Spy / espionage, Stealth, Direct control"
8384,1080° Snowboarding,2015,,https://www.mobygames.com/game/8384/1080-snowboarding/,"Sports, 1st-person, Snowboarding / skiing, Behind view"
66660,140,2016,,https://www.mobygames.com/game/66660/140/,"Action, Side view, Platform, Puzzle elements, Music / rhythm, 2D scrolling"
94161,153 Hand Video Poker,2016,,https://www.mobygames.com/game/94161/153-hand-video-poker/,"Cards / tiles, Gambling"
94162,360 Breakout,2016,,https://www.mobygames.com/game/94162/360-breakout/,"Action, Arcade, Side view, Paddle / Pong, Direct control"
87720,3Souls,2016,,https://www.mobygames.com/game/87720/3souls/,"Action, Side view, Platform, Fantasy, Puzzle, 2D scrolling, Direct control, Motion control, Voice control"
94224,6-Hand Video Poker,2016,,https://www.mobygames.com/game/94224/6-hand-video-poker/,"1st-person, Cards / tiles, Gambling, Turn-based"
69721,6180 the moon,2016,,https://www.mobygames.com/game/69721/6180-the-moon/,"Action, Side view, Puzzle elements, 2D scrolling"
94225,8Bit Hero,2016,,https://www.mobygames.com/game/94225/8bit-hero/,"Action, Hack and slash, Fantasy, Diagonal-down, 2D scrolling, Direct control"
87118,99Moves,2014,,https://www.mobygames.com/game/87118/99moves/,"Action, Top-down, 2D scrolling, Direct control"
87119,99Seconds,2014,,https://www.mobygames.com/game/87119/99seconds/,"Action, Arcade, Side view, Fixed / flip-screen"
93193,A Day at the Carnival,2017,,https://www.mobygames.com/game/93193/a-day-at-the-carnival/,"Action, 1st-person, Mini-games"
200795,A Drawing's Journey,2017,,https://www.mobygames.com/game/200795/a-drawings-journey/,"Adventure, Top-down, Meditative / Zen, 2D scrolling, Graphic adventure, Point and select"
49683,A World of Keflings,2014,6.97,https://www.mobygames.com/game/49683/a-world-of-keflings/,"Simulation, Strategy / tactics, Top-down, Real-time"
85441,A.C.E.: Alien Cleanup Elite,2017,,https://www.mobygames.com/game/85441/ace-alien-cleanup-elite/,"Action, Side view, Platform, Shooter, 2D scrolling"
67165,Aban Hawkins & the 1001 Spikes: The Temple of the Dead Mourns the Living,2014,7.65,https://www.mobygames.com/game/67165/aban-hawkins-the-1001-spikes-the-temple-of-the-dead-mourns-the-l/,"Action, Arcade, Side view, Platform"
94226,Absolutely Unstoppable MineRun,2017,,https://www.mobygames.com/game/94226/absolutely-unstoppable-minerun/,"Action, Arcade, Side view, Platform, 2D scrolling, Direct control"
87128,Abyss,2014,,https://www.mobygames.com/game/87128/abyss/,"Action, Side view, Fantasy, 2D scrolling"
97913,Ace of Seafood,2016,,https://www.mobygames.com/game/97913/ace-of-seafood/,"Action, Sci-fi / futuristic, Shooter, Behind view, Direct control"
76712,Act It Out! A Game of Charades,2016,,https://www.mobygames.com/game/76712/act-it-out-a-game-of-charades/,"Simulation, Board game"
4990,Advance Wars,2014,,https://www.mobygames.com/game/4990/advance-wars/,"Strategy / tactics, Turn-based, Diagonal-down, Turn-based strategy (TBS)"
9610,Advance Wars 2: Black Hole Rising,2015,,https://www.mobygames.com/game/9610/advance-wars-2-black-hole-rising/,"Strategy / tactics, Top-down, Turn-based, Turn-based strategy (TBS)"
19271,Advance Wars: Dual Strike,2016,,https://www.mobygames.com/game/19271/advance-wars-dual-strike/,"Strategy / tactics, Side view, Anime / Manga, Turn-based, Diagonal-down"
6628,Adventure Island,2014,,https://www.mobygames.com/game/6628/adventure-island/,"Action, Arcade, Side view, Platform, 2D scrolling, Oceania"
94227,Adventure Party: Cats and Caverns,2016,,https://www.mobygames.com/game/94227/adventure-party-cats-and-caverns/,"Real-time, Role-playing (RPG), Fantasy, Turn-based, Diagonal-down, 2D scrolling, Direct control, Menu structures"
91443,Adventure Time: Explore the Dungeon Because I Don't Know!,2013,5.43,https://www.mobygames.com/game/91443/adventure-time-explore-the-dungeon-because-i-dont-know/,"Action, Fantasy, Licensed, Comedy, Diagonal-down, 2D scrolling"
82855,Adventure Time: Finn and Jake Investigations,2015,6.86,https://www.mobygames.com/game/82855/adventure-time-finn-and-jake-investigations/,"Action, Puzzle elements, Detective / mystery, Fantasy, Licensed, Beat 'em up / brawler, 3rd-person (Other), Diagonal-down, Cinematic camera"
8760,The Adventures of Bayou Billy,2015,,https://www.mobygames.com/game/8760/the-adventures-of-bayou-billy/,"Action, Racing / Driving, Side view, Beat 'em up / brawler, Behind view, 2D scrolling, Regional differences"
7504,Adventures of Lolo,2014,,https://www.mobygames.com/game/7504/adventures-of-lolo/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
7505,Adventures of Lolo 2,2014,,https://www.mobygames.com/game/7505/adventures-of-lolo-2/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
86847,Adventures of Pip,2015,,https://www.mobygames.com/game/86847/adventures-of-pip/,"Action, Side view, Platform, Fantasy, 2D scrolling"
94228,Aenigma Os,2016,,https://www.mobygames.com/game/94228/aenigma-os/,"Puzzle, Fixed / flip-screen, Tile matching puzzle"
19666,Aeroboto,2017,,https://www.mobygames.com/game/19666/aeroboto/,"Action, Arcade, Side view, Shooter, Mecha / giant robot, 2D scrolling"
73609,Affordable Space Adventures,2015,7.75,https://www.mobygames.com/game/73609/affordable-space-adventures/,"Action, Sci-fi / futuristic, Side view, Puzzle elements, 2D scrolling"
22501,Ai: Chō Aniki,2016,,https://www.mobygames.com/game/22501/ai-cho-aniki/,"Action, Arcade, Side view, Shooter, 2D scrolling"
23730,Air Zonk,2014,,https://www.mobygames.com/game/23730/air-zonk/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, 2D scrolling"
186914,Al Crash,2015,,https://www.mobygames.com/game/186914/al-crash/,"Action, Side view, Platform, 2D scrolling, Direct control"
13688,Albert Odyssey,2015,,https://www.mobygames.com/game/13688/albert-odyssey/,"Strategy / tactics, Top-down, Role-playing (RPG), Fantasy, Turn-based, Tactical RPG"
94229,Alice in Wonderland,2016,,https://www.mobygames.com/game/94229/alice-in-wonderland/,"Adventure, Fantasy, 3rd-person (Other), Interactive book"
17756,Alien Crush,2014,,https://www.mobygames.com/game/17756/alien-crush/,"Action, Sci-fi / futuristic, Top-down, Pinball"
88064,Alphadia Genesis,2014,6.35,https://www.mobygames.com/game/88064/alphadia-genesis/,"Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Diagonal-down, 2D scrolling, Japanese-style RPG (JRPG), Direct control"
65372,The Amazing Spider-Man 2,2014,6.62,https://www.mobygames.com/game/65372/the-amazing-spider-man-2/,"Action, Licensed, Behind view"
62407,The Amazing Spider-Man: Ultimate Edition,2013,7.16,https://www.mobygames.com/game/62407/the-amazing-spider-man-ultimate-edition/,Compilation
57924,Angry Birds Trilogy,2013,,https://www.mobygames.com/game/57924/angry-birds-trilogy/,"Strategy / tactics, Side view, Compilation, Licensed, 2D scrolling"
59016,Angry Birds: Star Wars,2013,,https://www.mobygames.com/game/59016/angry-birds-star-wars/,"Sci-fi / futuristic, Side view, Puzzle, 2D scrolling, Artillery, Direct control"
94230,Angry Bunnies: Colossal Carrot Crusade,2014,,https://www.mobygames.com/game/94230/angry-bunnies-colossal-carrot-crusade/,"Side view, Fantasy, Puzzle, 2D scrolling, Direct control"
62363,The Angry Video Game Nerd Adventures,2015,,https://www.mobygames.com/game/62363/the-angry-video-game-nerd-adventures/,"Action, Sci-fi / futuristic, Side view, Platform, Shooter, Licensed, 3rd-person (Other)"
84608,Animal Crossing: Amiibo Festival,2015,4.97,https://www.mobygames.com/game/84608/animal-crossing-amiibo-festival/,"Strategy / tactics, Board game, 3rd-person (Other), Mini-games, Party game"
77817,Animal Crossing: Amiibo Festival (Amiibo Bundle),2015,,https://www.mobygames.com/game/77817/animal-crossing-amiibo-festival-amiibo-bundle/,"Physical extras, Special edition"
20448,Animal Crossing: Wild World,2015,,https://www.mobygames.com/game/20448/animal-crossing-wild-world/,"Simulation, Meditative / Zen, Persistent, Diagonal-down, Life / social simulation, Point and select, Direct control, Regional differences"
82698,Animal Gods,2017,,https://www.mobygames.com/game/82698/animal-gods/,"Action, Adventure, Platform, Isometric, 3rd-person (Other)"
101526,Annihilation,2017,,https://www.mobygames.com/game/101526/annihilation/,"Action, Strategy / tactics, Arcade, Shooter, Diagonal-down, Fixed / flip-screen, Tower defense"
66778,Another World: 20th Anniversary Edition,2014,,https://www.mobygames.com/game/66778/another-world-20th-anniversary-edition/,"Action, Sci-fi / futuristic, Side view, Platform, Shooter, Puzzle elements, 2D scrolling"
11543,Antarctic Adventure,2014,,https://www.mobygames.com/game/11543/antarctic-adventure/,"Action, Arcade, Behind view"
