ID,Title,Release Year,Moby Score,URL,Genres
5798,007: Agent Under Fire,2002,7.26,https://www.mobygames.com/game/5798/007-agent-under-fire/,"Action, 1st-person, Shooter, Licensed, Spy / espionage"
12211,007: Everything or Nothing,2004,7.93,https://www.mobygames.com/game/12211/007-everything-or-nothing/,"Action, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
19879,007: From Russia with Love,2005,7.17,https://www.mobygames.com/game/19879/007-from-russia-with-love/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
7804,007: Nightfire,2002,7.37,https://www.mobygames.com/game/7804/007-nightfire/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
24079,187: Ride or Die,2005,5.79,https://www.mobygames.com/game/24079/187-ride-or-die/,"Action, Racing / Driving, Behind view, Vehicular combat, Direct control, Automobile"
139960,2 Games in 1: Shrek 2 / Shark Tale,2005,,https://www.mobygames.com/game/139960/2-games-in-1-shrek-2-shark-tale/,Compilation
138642,2 in 1 Combo Pack: Sonic Heroes & Super Monkey Ball Deluxe,2005,,https://www.mobygames.com/game/138642/2-in-1-combo-pack-sonic-heroes-super-monkey-ball-deluxe/,Compilation
139959,2 in 1 Combo Pack: Sonic Mega Collection Plus & Super Monkey Ball Deluxe,2005,,https://www.mobygames.com/game/139959/2-in-1-combo-pack-sonic-mega-collection-plus-super-monkey-ball-d/,Compilation
6498,2002 FIFA World Cup,2002,7.51,https://www.mobygames.com/game/6498/2002-fifa-world-cup/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down, Direct control, Multiple units/characters control, Asia, Japan (Modern/Futuristic)"
22727,25 to Life,2006,5.11,https://www.mobygames.com/game/22727/25-to-life/,"Action, Shooter, Stealth, Crime, Behind view, Direct control, Contemporary"
14526,4x4 Evo 2,2001,6.63,https://www.mobygames.com/game/14526/4x4-evo-2/,"Sports, Racing / Driving, 1st-person, Off-roading, Licensed, Behind view, Vehicle simulator, Automobile"
20457,50 Cent: Bulletproof,2005,5.8,https://www.mobygames.com/game/20457/50-cent-bulletproof/,"Action, Shooter, Licensed, Behind view"
18822,Advent Rising,2005,6.83,https://www.mobygames.com/game/18822/advent-rising/,"Action, Sci-fi / futuristic, Shooter, Behind view"
10499,AFL Live 2003,2002,,https://www.mobygames.com/game/10499/afl-live-2003/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
10500,AFL Live 2004,2003,,https://www.mobygames.com/game/10500/afl-live-2004/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
18155,AFL Live: Premiership Edition,2004,,https://www.mobygames.com/game/18155/afl-live-premiership-edition/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
19681,AFL Premiership 2005,2005,,https://www.mobygames.com/game/19681/afl-premiership-2005/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
6995,Aggressive Inline,2002,7.78,https://www.mobygames.com/game/6995/aggressive-inline/,"Sports, Skateboarding, Licensed, Tricks / stunts, Behind view"
25249,AirForce Delta Storm,2001,6.4,https://www.mobygames.com/game/25249/airforce-delta-storm/,"Action, Simulation, 1st-person, Flight / aviation, Behind view, Vehicular combat"
17840,Alfa Romeo Racing Italiano,2005,5.71,https://www.mobygames.com/game/17840/alfa-romeo-racing-italiano/,"Racing / Driving, 1st-person, Licensed, Behind view, Vehicle simulator, RPG elements, Automobile, Street racing, Track racing"
13982,Alias,2004,6.71,https://www.mobygames.com/game/13982/alias/,"Action, Licensed, Spy / espionage, Stealth, 3rd-person (Other)"
15825,Alien Hominid,2005,6.55,https://www.mobygames.com/game/15825/alien-hominid/,"Action, Sci-fi / futuristic, Side view, Shooter, Fantasy, 2D scrolling, Regional differences"
10020,Aliens Versus Predator: Extinction,2003,6.23,https://www.mobygames.com/game/10020/aliens-versus-predator-extinction/,"Action, Strategy / tactics, Sci-fi / futuristic, Real-time, Licensed, Diagonal-down"
6419,All-Star Baseball 2003,2002,7.27,https://www.mobygames.com/game/6419/all-star-baseball-2003/,"Sports, Baseball, Licensed, Behind view"
11247,All-Star Baseball 2004,2003,7.52,https://www.mobygames.com/game/11247/all-star-baseball-2004/,"Sports, Baseball, Licensed"
19108,All-Star Baseball 2005,2004,7.49,https://www.mobygames.com/game/19108/all-star-baseball-2005/,"Sports, Baseball, Licensed, Behind view, Diagonal-down"
13450,Alter Echo,2003,6.58,https://www.mobygames.com/game/13450/alter-echo/,"Action, Sci-fi / futuristic, Puzzle elements, Fighting, 3rd-person (Other)"
21333,America's Army: Rise of a Soldier,2005,6.76,https://www.mobygames.com/game/21333/americas-army-rise-of-a-soldier/,"Action, 1st-person, Shooter, Tactical shooter"
21818,America's Army: Rise of a Soldier (Special Edition),2005,,https://www.mobygames.com/game/21818/americas-army-rise-of-a-soldier-special-edition/,"Physical extras, Special edition"
24400,American Chopper,2004,5.6,https://www.mobygames.com/game/24400/american-chopper/,"Racing / Driving, Real-time, Motorcycle, Licensed, Behind view, Vehicle simulator"
25251,American Chopper 2: Full Throttle,2005,,https://www.mobygames.com/game/25251/american-chopper-2-full-throttle/,"Racing / Driving, Arcade, Motorcycle, Licensed, Behind view, Vehicle simulator"
15814,American McGee presents Scrapland,2005,6.83,https://www.mobygames.com/game/15814/american-mcgee-presents-scrapland/,"Action, Racing / Driving, Sci-fi / futuristic, Behind view, Direct control"
16200,AMF Bowling 2004,2003,,https://www.mobygames.com/game/16200/amf-bowling-2004/,"Sports, Licensed, Bowling, Behind view, Direct control"
25270,AMF Xtreme Bowling,2006,,https://www.mobygames.com/game/25270/amf-xtreme-bowling/,"Sports, Licensed, Bowling, Direct control"
10881,Amped 2,2003,8.09,https://www.mobygames.com/game/10881/amped-2/,"Sports, Snowboarding / skiing, Diagonal-down"
5407,Amped: Freestyle Snowboarding,2001,7.9,https://www.mobygames.com/game/5407/amped-freestyle-snowboarding/,"Sports, Snowboarding / skiing, Behind view"
22692,AND 1 Streetball,2006,5.55,https://www.mobygames.com/game/22692/and-1-streetball/,"Sports, Basketball, Licensed, Diagonal-down, 2D scrolling"
190388,Angelic Concert,2003,,https://www.mobygames.com/game/190388/angelic-concert/,"Action, Adventure, Anime / Manga, Music / rhythm, Visual novel, Fixed / flip-screen, Mini-games, Direct control"
20911,Animaniacs: The Great Edgar Hunt,2005,,https://www.mobygames.com/game/20911/animaniacs-the-great-edgar-hunt/,"Action, Platform, Puzzle elements, Fantasy, Licensed, 3rd-person (Other)"
7479,Antz Extreme Racing,2002,5.96,https://www.mobygames.com/game/7479/antz-extreme-racing/,"Racing / Driving, Arcade, Licensed, Behind view, Vehicle simulator, Automobile, Track racing"
77607,Aoi Namida (Shokaiban),2004,,https://www.mobygames.com/game/77607/aoi-namida-shokaiban/,"Adventure, 1st-person, Anime / Manga, Fantasy, Visual novel"
17839,Apex,2003,7.34,https://www.mobygames.com/game/17839/apex/,"Racing / Driving, 1st-person, Behind view, Direct control, Automobile"
15109,Aquaman: Battle for Atlantis,2003,3.62,https://www.mobygames.com/game/15109/aquaman-battle-for-atlantis/,"Action, 1st-person, Arcade, Flight / aviation, Licensed, 3rd-person (Other)"
8901,Arctic Thunder,2001,6.0,https://www.mobygames.com/game/8901/arctic-thunder/,"Racing / Driving, 1st-person, Behind view, Snowmobile"
18069,Area-51,2005,7.25,https://www.mobygames.com/game/18069/area-51/,"Action, 1st-person, Sci-fi / futuristic, Shooter, Direct control, Regional differences"
26449,Arena Football,2006,6.26,https://www.mobygames.com/game/26449/arena-football/,"Sports, Football (American), Licensed, Diagonal-down, 2D scrolling, Direct control"
11308,Armed and Dangerous,2003,7.48,https://www.mobygames.com/game/11308/armed-and-dangerous/,"Action, 1st-person, Sci-fi / futuristic, Shooter, Behind view"
46682,Army Men: Major Malfunction,2006,4.88,https://www.mobygames.com/game/46682/army-men-major-malfunction/,"Action, Shooter, 3rd-person (Other)"
15226,Army Men: Sarge's War,2004,5.62,https://www.mobygames.com/game/15226/army-men-sarges-war/,"Action, 1st-person, Shooter, Behind view, Direct control"
7189,Arx Fatalis,2003,7.2,https://www.mobygames.com/game/7189/arx-fatalis/,"1st-person, Puzzle elements, Role-playing (RPG), Fantasy, Action RPG, Direct control, Regional differences"
