ID,Title,Release Year,Moby Score,URL,Genres
123961,'88 Games,1988,,https://www.mobygames.com/game/123961/88-games/,"Sports, Real-time, Side view, Olympiad / mixed sports, 3rd-person (Other), Diagonal-down, 2D scrolling, Athletics, Direct control"
129334,'96 Flag Rally,1996,,https://www.mobygames.com/game/129334/96-flag-rally/,"Action, Racing / Driving, Top-down, Real-time, Motorcycle, Anime / Manga, 2D scrolling, Direct control, Automobile"
63919,005,1981,,https://www.mobygames.com/game/63919/005/,"Action, Arcade, Top-down, Stealth, Fixed / flip-screen, Direct control"
48760,10-Yard Fight,1983,,https://www.mobygames.com/game/48760/10-yard-fight/,"Sports, Top-down, Football (American), Regional differences"
64299,1000 Miglia: Great 1000 Miles Rally,1994,,https://www.mobygames.com/game/64299/1000-miglia-great-1000-miles-rally/,"Racing / Driving, Diagonal-down, 2D scrolling, Direct control, Automobile"
209839,18 Holes Pro Golf,1981,,https://www.mobygames.com/game/209839/18-holes-pro-golf/,"Sports, Top-down, Golf, 2D scrolling"
34268,1941: Counter Attack,1990,,https://www.mobygames.com/game/34268/1941-counter-attack/,"Action, Top-down, Historical events, Shooter, World War II"
7949,1942,1984,6.99,https://www.mobygames.com/game/7949/1942/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
33468,1943 Kai,1988,,https://www.mobygames.com/game/33468/1943-kai/,"Action, Top-down, Historical events, Shooter, War, 2D scrolling, World War II"
8560,1943: The Battle of Midway,1987,6.82,https://www.mobygames.com/game/8560/1943-the-battle-of-midway/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
64331,1944: The Loop Master,2000,,https://www.mobygames.com/game/64331/1944-the-loop-master/,"Action, Arcade, Top-down, Shooter, War, 2D scrolling, World War II"
81485,1945k III,2000,,https://www.mobygames.com/game/81485/1945k-iii/,"Action, Top-down, Shooter, 2D scrolling, Direct control, World War II"
142902,The 19th Hole,1986,,https://www.mobygames.com/game/142902/the-19th-hole/,"Sports, Top-down, Real-time, Golf, Fixed / flip-screen"
63622,19XX: The War Against Destiny,1996,,https://www.mobygames.com/game/63622/19xx-the-war-against-destiny/,"Action, Arcade, Top-down, Shooter, 2D scrolling, Direct control"
80590,2 Spicy,2007,,https://www.mobygames.com/game/80590/2-spicy/,"Action, Sci-fi / futuristic, Arcade, Shooter, Behind view"
66918,20 Year Reunion Ms. Pac-Man/Galaga Class of 1981,2000,,https://www.mobygames.com/game/66918/20-year-reunion-ms-pac-mangalaga-class-of-1981/,Compilation
108184,21,1976,,https://www.mobygames.com/game/108184/21/,"Strategy / tactics, Top-down, Cards / tiles, Gambling, Fixed / flip-screen, Menu structures"
74298,280 Zzzap,1976,,https://www.mobygames.com/game/74298/280-zzzap/,"Action, Racing / Driving, 1st-person, Arcade, Direct control, Automobile"
17304,3 Count Bout,1993,,https://www.mobygames.com/game/17304/3-count-bout/,"Action, Sports, Side view, Fighting, Wrestling, 2D scrolling"
124535,3-D Bowling,1978,,https://www.mobygames.com/game/124535/3-d-bowling/,"Sports, Bowling, Diagonal-down, Fixed / flip-screen, Direct control"
200637,3-D Thunder Ceptor II,1986,,https://www.mobygames.com/game/200637/3-d-thunder-ceptor-ii/,"Action, Sci-fi / futuristic, Arcade, Fantasy, Behind view, 2D scrolling, Rail shooter, Direct control"
168632,4 Player Bowling Alley,1978,,https://www.mobygames.com/game/168632/4-player-bowling-alley/,"Sports, Top-down, Bowling, Fixed / flip-screen, Direct control"
80502,4-D Warriors,1985,,https://www.mobygames.com/game/80502/4-d-warriors/,"Action, Sci-fi / futuristic, Side view, Shooter, 2D scrolling"
107438,474,1975,,https://www.mobygames.com/game/107438/474/,"Action, Sports, Arcade, Top-down, Tennis, Paddle / Pong, Fixed / flip-screen, Direct control"
109069,6 Pac I,1976,,https://www.mobygames.com/game/109069/6-pac-i/,"Action, Sports, Arcade, Top-down, Hockey, Tennis, Football (European) / Soccer, Paddle / Pong, Fixed / flip-screen, Direct control"
109070,6 Pac II,1976,,https://www.mobygames.com/game/109070/6-pac-ii/,"Action, Sports, Arcade, Top-down, Tennis, Pinball, Paddle / Pong, Fixed / flip-screen, Racquetball / squash, Direct control"
63736,64th. Street: A Detective Story,1991,6.38,https://www.mobygames.com/game/63736/64th-street-a-detective-story/,"Action, Side view, Beat 'em up / brawler, 2D scrolling, Direct control"
129556,7 Ordi,2001,,https://www.mobygames.com/game/129556/7-ordi/,"Strategy / tactics, Cards / tiles, Gambling, Turn-based, Fixed / flip-screen, Menu structures"
10257,720º,1986,,https://www.mobygames.com/game/10257/720o/,"Sports, Arcade, Skateboarding, Tricks / stunts, Diagonal-down"
63807,A.B. Cop,1990,,https://www.mobygames.com/game/63807/ab-cop/,"Action, Racing / Driving, Sci-fi / futuristic, Real-time, Motorcycle, Behind view, Vehicular combat, Direct control"
129366,A.D. 2083,1983,,https://www.mobygames.com/game/129366/ad-2083/,"Action, Sci-fi / futuristic, Side view, Flight / aviation, Shooter, 2D scrolling, Space flight, Direct control"
13818,A.L.C.O.N.,1986,,https://www.mobygames.com/game/13818/alcon/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter"
1641,AAARGH!,1987,,https://www.mobygames.com/game/1641/aaargh/,"Action, Arcade, Side view"
83294,Ace,1976,,https://www.mobygames.com/game/83294/ace/,"Action, Arcade, Side view, Flight / aviation, Shooter, Fixed / flip-screen, Direct control, World War I"
108518,Ace,1973,,https://www.mobygames.com/game/108518/ace/,"Action, 1st-person, Flight / aviation, Shooter, Direct control, World War I, World War II"
129381,Ace Attacker,1988,,https://www.mobygames.com/game/129381/ace-attacker/,"Sports, Top-down, Real-time, Volleyball, 2D scrolling, Direct control"
109072,Ace High,1976,,https://www.mobygames.com/game/109072/ace-high/,"Strategy / tactics, Top-down, Cards / tiles, Turn-based, Fixed / flip-screen, Menu structures"
47790,Acrobat Mission,1991,,https://www.mobygames.com/game/47790/acrobat-mission/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, 2D scrolling, Space flight"
68732,Acrobatic Dog-Fight,1985,,https://www.mobygames.com/game/68732/acrobatic-dog-fight/,"Action, Arcade, Side view, Shooter"
66352,Act-Fancer: Cybernetick Hyper Weapon,1989,,https://www.mobygames.com/game/66352/act-fancer-cybernetick-hyper-weapon/,"Action, Sci-fi / futuristic, Side view, Platform, Shooter, 2D scrolling, Direct control"
8921,Action Fighter,1986,,https://www.mobygames.com/game/8921/action-fighter/,"Action, Racing / Driving, Arcade, Top-down, Flight / aviation, Motorcycle, Shooter, Automobile"
6704,ActRaiser,1992,,https://www.mobygames.com/game/6704/actraiser/,"Action, Strategy / tactics, Side view, Platform, Fantasy, Diagonal-down, 2D scrolling, RPG elements, Regional differences"
4276,The Addams Family,1992,,https://www.mobygames.com/game/4276/the-addams-family/,"Action, Side view, Platform, Licensed, 2D scrolling"
143949,The Adventures of Robby Roto!,1981,,https://www.mobygames.com/game/143949/the-adventures-of-robby-roto/,"Action, Arcade, Side view, Fixed / flip-screen"
10133,Aero Fighters,1992,,https://www.mobygames.com/game/10133/aero-fighters/,"Action, Arcade, Top-down, Flight / aviation, Shooter, 2D scrolling"
28962,Aero Fighters 2,1994,,https://www.mobygames.com/game/28962/aero-fighters-2/,"Action, Arcade, Top-down, Shooter, 2D scrolling"
29065,Aero Fighters 3,1995,,https://www.mobygames.com/game/29065/aero-fighters-3/,"Action, Arcade, Top-down, Shooter"
19666,Aeroboto,1984,,https://www.mobygames.com/game/19666/aeroboto/,"Action, Arcade, Side view, Shooter, Mecha / giant robot, 2D scrolling"
1424,After Burner,1987,6.85,https://www.mobygames.com/game/1424/after-burner/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
7009,After Burner II,1987,7.05,https://www.mobygames.com/game/7009/after-burner-ii/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
22833,After Burner III,1991,,https://www.mobygames.com/game/22833/after-burner-iii/,"Action, 1st-person, Arcade, Flight / aviation, Shooter, Behind view"
47248,After Burner: Climax,2006,,https://www.mobygames.com/game/47248/after-burner-climax/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
75268,The Age of Heroes: Silkroad 2,2000,,https://www.mobygames.com/game/75268/the-age-of-heroes-silkroad-2/,"Action, Side view, Martial arts, Beat 'em up / brawler, 2D scrolling, China (Ancient / Imperial)"
129388,Agent Super-Bond,1982,,https://www.mobygames.com/game/129388/agent-super-bond/,"Action, Arcade, Real-time, Shooter, Spy / espionage, Diagonal-down, Fixed / flip-screen, Direct control"
32603,Aggressors of Dark Kombat,1994,,https://www.mobygames.com/game/32603/aggressors-of-dark-kombat/,"Action, Side view, Fighting, Fantasy, Direct control"
129511,Agress: Missile Daisenryaku,1991,,https://www.mobygames.com/game/129511/agress-missile-daisenryaku/,"Action, Real-time, Puzzle, War, Fixed / flip-screen, Direct control"
