ID,Title,Release Year,Moby Score,URL,Genres
24159,2 Pak Special: Alien Force & Hoppy,1992,,https://www.mobygames.com/game/24159/2-pak-special-alien-force-hoppy/,Compilation
25994,2 Pak Special: Cavern Blaster & City War,1992,,https://www.mobygames.com/game/25994/2-pak-special-cavern-blaster-city-war/,"Action, Compilation"
34650,2 Pak Special: Space Voyage & Fire Alert,1992,,https://www.mobygames.com/game/34650/2-pak-special-space-voyage-fire-alert/,Compilation
25045,2005 MiniGame MultiCart,2005,,https://www.mobygames.com/game/25045/2005-minigame-multicart/,"Action, Sci-fi / futuristic, Arcade, Top-down, Side view, Platform, Shooter, Fantasy, Tank, Puzzle, Mini-games"
23946,3-D Brickaway,1983,6.11,https://www.mobygames.com/game/23946/3-d-brickaway/,"Action, 1st-person, Paddle / Pong, Licensed, Fixed / flip-screen"
13384,3-D Tic-Tac-Toe,1980,4.91,https://www.mobygames.com/game/13384/3-d-tic-tac-toe/,"Strategy / tactics, Isometric, Board game, Turn-based, Diagonal-down, Fixed / flip-screen, Text parser"
22996,32 in 1 Game Cartridge,1988,,https://www.mobygames.com/game/22996/32-in-1-game-cartridge/,"Sports, Sci-fi / futuristic, Arcade, Educational, Fishing, Shooter, Board game, Football (American), Baseball, Basketball, Golf, Boxing, Tennis, Math / logic, Fighting, Compilation, Tank, Licensed, Bowling, Snowboarding / skiing"
35383,A Better Pac-Man,2002,,https://www.mobygames.com/game/35383/a-better-pac-man/,"Action, Arcade, Top-down, Fixed / flip-screen"
172514,A Roach in Space,2019,,https://www.mobygames.com/game/172514/a-roach-in-space/,"Action, Sci-fi / futuristic, Arcade, Top-down, 2D scrolling, Direct control"
69494,A Slow Year,2010,,https://www.mobygames.com/game/69494/a-slow-year/,"Simulation, 1st-person, Meditative / Zen"
12884,Acid Drop,1992,,https://www.mobygames.com/game/12884/acid-drop/,"Arcade, Real-time, Puzzle, Fixed / flip-screen, Falling block puzzle"
21938,Action Pak,1981,,https://www.mobygames.com/game/21938/action-pak/,Compilation
35846,Actionauts,2008,,https://www.mobygames.com/game/35846/actionauts/,"Simulation, Sci-fi / futuristic, Side view, Fixed / flip-screen"
11537,The Activision Decathlon,1983,7.16,https://www.mobygames.com/game/11537/the-activision-decathlon/,"Sports, Olympiad / mixed sports, 3rd-person (Other), 2D scrolling"
11162,Adventure,1980,7.4,https://www.mobygames.com/game/11162/adventure/,"Action, Puzzle elements, Fantasy, Diagonal-down, Fixed / flip-screen, Direct control, Medieval"
35248,Adventure Plus,2003,,https://www.mobygames.com/game/35248/adventure-plus/,"Action, Puzzle elements, Fantasy, Diagonal-down"
13803,Adventures of Tron,1983,5.81,https://www.mobygames.com/game/13803/adventures-of-tron/,"Action, Sci-fi / futuristic, Arcade, Platform, Licensed"
21659,Air Raid,1984,,https://www.mobygames.com/game/21659/air-raid/,"Action, Sci-fi / futuristic, Side view, Shooter, 2D scrolling, North America"
13010,Air Raiders,1983,6.79,https://www.mobygames.com/game/13010/air-raiders/,"Action, 1st-person, Arcade, Flight / aviation"
10942,Air-Sea Battle,1977,5.81,https://www.mobygames.com/game/10942/air-sea-battle/,"Action, Arcade, Side view, Shooter, Fixed / flip-screen, Direct control"
9777,Airlock,1982,3.82,https://www.mobygames.com/game/9777/airlock/,"Action, Arcade, Side view, Platform, Fixed / flip-screen"
29805,Alfred Challenge,1998,,https://www.mobygames.com/game/29805/alfred-challenge/,"Action, Arcade, Side view, Fixed / flip-screen"
22748,Alien,1982,6.25,https://www.mobygames.com/game/22748/alien/,"Action, Sci-fi / futuristic, Top-down, Cyberpunk / dark sci-fi, Fixed / flip-screen"
29821,Allia Quest,2001,,https://www.mobygames.com/game/29821/allia-quest/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, Fixed / flip-screen"
30224,Alligator People,2003,,https://www.mobygames.com/game/30224/alligator-people/,"Action, Arcade, Top-down, Fixed / flip-screen"
22900,Alpha Beam with Ernie,1983,,https://www.mobygames.com/game/22900/alpha-beam-with-ernie/,"Sci-fi / futuristic, Educational, Side view, Pre-school / toddler, Licensed, Puzzle, Fixed / flip-screen"
22952,Alpha Shield,1983,,https://www.mobygames.com/game/22952/alpha-shield/,"Action, Strategy / tactics, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen"
11418,Amidar,1982,5.82,https://www.mobygames.com/game/11418/amidar/,"Action, Arcade, Top-down, Puzzle, Fixed / flip-screen"
8883,Armor Battle,1982,6.21,https://www.mobygames.com/game/8883/armor-battle/,"Action, Racing / Driving, Top-down, Tank, Diagonal-down, Fixed / flip-screen, Direct control"
15775,Artillery Duel,1983,,https://www.mobygames.com/game/15775/artillery-duel/,"Strategy / tactics, Side view, Turn-based, Fixed / flip-screen, Artillery"
23972,Assault,1983,,https://www.mobygames.com/game/23972/assault/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, Fixed / flip-screen"
92845,Assembloids 2600,2017,,https://www.mobygames.com/game/92845/assembloids-2600/,"Action, Real-time, Puzzle, Fixed / flip-screen, Direct control"
29454,AStar,2006,,https://www.mobygames.com/game/29454/astar/,"Side view, Puzzle, Fixed / flip-screen, Direct control"
201139,Asteroid Fire,1983,,https://www.mobygames.com/game/201139/asteroid-fire/,Action
8872,Asteroids,1981,7.2,https://www.mobygames.com/game/8872/asteroids/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen, Space flight, Direct control"
35388,Asteroids DC+,2002,,https://www.mobygames.com/game/35388/asteroids-dc/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen"
10011,Astrosmash,1982,7.11,https://www.mobygames.com/game/10011/astrosmash/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, Fixed / flip-screen"
21599,Atari Video Cube,1982,,https://www.mobygames.com/game/21599/atari-video-cube/,"Side view, Turn-based, Puzzle, Fixed / flip-screen, Tile matching puzzle, Direct control"
29432,AtariAge Holiday Greetings 2004,2004,,https://www.mobygames.com/game/29432/atariage-holiday-greetings-2004/,"Action, Arcade, Diagonal-down, Fixed / flip-screen"
29490,AtariAge Holiday Greetings 2005,2005,,https://www.mobygames.com/game/29490/atariage-holiday-greetings-2005/,"Action, Arcade, Side view, Platform, 2D scrolling"
29555,AtariAge Holiday Greetings 2006,2006,,https://www.mobygames.com/game/29555/atariage-holiday-greetings-2006/,"Action, Arcade, Diagonal-down, Fixed / flip-screen"
31821,AtariAge Holiday Greetings 2007,2007,,https://www.mobygames.com/game/31821/atariage-holiday-greetings-2007/,"Action, Arcade, Shooter, Compilation"
10248,Atlantis,1982,6.93,https://www.mobygames.com/game/10248/atlantis/,"Action, Arcade, Side view, Shooter, Fixed / flip-screen"
50840,Atlantis II,1982,,https://www.mobygames.com/game/50840/atlantis-ii/,"Action, Sci-fi / futuristic, Arcade, Side view, Fixed / flip-screen"
196938,Atrix,2006,,https://www.mobygames.com/game/196938/atrix/,"Action, Top-down, Shooter, Fantasy, Fixed / flip-screen, Direct control"
29929,AVCStec Challenge,2006,,https://www.mobygames.com/game/29929/avcstec-challenge/,"Action, Arcade, Behind view"
24295,Bachelor Party/Gigolo,1983,,https://www.mobygames.com/game/24295/bachelor-partygigolo/,"Action, Arcade, Top-down, Adult, Fixed / flip-screen"
24481,Bachelorette Party/Burning Desire,1983,,https://www.mobygames.com/game/24481/bachelorette-partyburning-desire/,"Action, Arcade, Side view, Paddle / Pong, Adult, Fixed / flip-screen"
22850,Back to School Pak,1978,,https://www.mobygames.com/game/22850/back-to-school-pak/,"Educational, Math / logic, Reading / writing, Compilation, Puzzle, Text-based / Spreadsheet, Fixed / flip-screen, Menu structures"
29481,Backfire,2003,,https://www.mobygames.com/game/29481/backfire/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, Fixed / flip-screen"
23124,Backgammon,1979,,https://www.mobygames.com/game/23124/backgammon/,"Strategy / tactics, Top-down, Board game, Fixed / flip-screen, Direct control"
19809,Bank Heist,1983,6.47,https://www.mobygames.com/game/19809/bank-heist/,"Action, Racing / Driving, Top-down, Crime, Fixed / flip-screen, Automobile, North America, Interwar"
11026,Barnstorming,1982,6.39,https://www.mobygames.com/game/11026/barnstorming/,"Action, Arcade, Side view, Flight / aviation, 2D scrolling, Direct control, North America"
8843,Basic Math,1977,4.46,https://www.mobygames.com/game/8843/basic-math/,"Educational, Math / logic, Text-based / Spreadsheet, Fixed / flip-screen, Menu structures"
14905,Basketball,1978,5.69,https://www.mobygames.com/game/14905/basketball/,"Sports, Side view, Basketball, Fixed / flip-screen, Direct control"
360,Battlezone,1983,6.97,https://www.mobygames.com/game/360/battlezone/,"Action, 1st-person, Sci-fi / futuristic, Arcade, Shooter, Tank, Vehicular combat, Direct control"
8929,Beamrider,1984,7.16,https://www.mobygames.com/game/8929/beamrider/,"Action, Sci-fi / futuristic, Arcade, Shooter, Behind view, Space flight"
22752,Beany Bopper,1982,5.89,https://www.mobygames.com/game/22752/beany-bopper/,"Action, Arcade, Top-down, Shooter, 2D scrolling"
25725,Beat 'Em & Eat 'Em/Lady in Wading,1983,,https://www.mobygames.com/game/25725/beat-em-eat-emlady-in-wading/,"Action, Arcade, Side view, Compilation, Fantasy, Adult, Fixed / flip-screen"
35225,Bee-Ball,2007,,https://www.mobygames.com/game/35225/bee-ball/,"Sports, Arcade, Side view, Tennis, Volleyball, Fixed / flip-screen"
24051,Berenstain Bears,1984,,https://www.mobygames.com/game/24051/berenstain-bears/,"Educational, Side view, Math / logic, Reading / writing, Pre-school / toddler, Licensed"
14749,Bermuda Triangle,1982,5.62,https://www.mobygames.com/game/14749/bermuda-triangle/,"Action, Arcade, Side view, Shooter, Naval / watercraft, 2D scrolling"
35389,Berzerk,2002,,https://www.mobygames.com/game/35389/berzerk/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen"
8847,Berzerk,1982,7.53,https://www.mobygames.com/game/8847/berzerk/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen"
22904,Big Bird's Egg Catch,1983,6.66,https://www.mobygames.com/game/22904/big-birds-egg-catch/,"Strategy / tactics, Educational, Side view, Pre-school / toddler, Licensed, Fixed / flip-screen"
145647,Birthday Mania,1984,,https://www.mobygames.com/game/145647/birthday-mania/,"Action, Arcade, Top-down, Shooter, Fixed / flip-screen"
17564,Blackjack,1977,4.81,https://www.mobygames.com/game/17564/blackjack/,"Strategy / tactics, Top-down, Cards / tiles, Gambling, Turn-based, Fixed / flip-screen, Direct control"
29455,BLiP FOOtBaLL,2006,,https://www.mobygames.com/game/29455/blip-football/,"Sports, Top-down, Football (American), 3rd-person (Other)"
10737,Blueprint,1983,,https://www.mobygames.com/game/10737/blueprint/,"Action, Arcade, Top-down, Fixed / flip-screen"
22851,BMX Air Master,1989,,https://www.mobygames.com/game/22851/bmx-air-master/,"Action, Sports, Side view, Tricks / stunts, Bike / bicycling"
88815,Bobby is Going Home,1983,,https://www.mobygames.com/game/88815/bobby-is-going-home/,"Action, Side view, Platform, Fixed / flip-screen, Direct control"
24188,Boing!,1984,,https://www.mobygames.com/game/24188/boing/,"Action, Arcade, Isometric, Diagonal-down, Fixed / flip-screen"
144892,Bomb on Pixel City,2012,,https://www.mobygames.com/game/144892/bomb-on-pixel-city/,"Action, Arcade, Side view, Flight / aviation, Shooter, Fixed / flip-screen, Direct control"
