ID,Title,Release Year,Moby Score,URL,Genres
69157,2nd Space,1993,,https://www.mobygames.com/game/69157/2nd-space/,"Action, Arcade, Top-down, Puzzle, Fixed / flip-screen, Direct control"
32386,4-in-1 Fun Pak,1992,,https://www.mobygames.com/game/32386/4-in-1-fun-pak/,"Strategy / tactics, Chess, Top-down, Board game, Turn-based, Fixed / flip-screen, Point and select"
47845,4-in-1 Funpak: Volume II,1993,,https://www.mobygames.com/game/47845/4-in-1-funpak-volume-ii/,"Strategy / tactics, Board game, Cards / tiles"
208476,Aah! Harimanada,1993,,https://www.mobygames.com/game/208476/aah-harimanada/,"Action, Side view, Fighting, Anime / Manga, Licensed, 2D scrolling, Direct control, Japan (Modern/Futuristic)"
45661,The Addams Family,1992,6.67,https://www.mobygames.com/game/45661/the-addams-family/,"Action, Side view, Platform, Licensed, 2D scrolling"
5646,The Addams Family: Pugsley's Scavenger Hunt,1992,7.06,https://www.mobygames.com/game/5646/the-addams-family-pugsleys-scavenger-hunt/,"Action, Side view, Platform, Licensed, 2D scrolling"
7483,Adventure Island 3,1993,7.1,https://www.mobygames.com/game/7483/adventure-island-3/,"Action, Arcade, Side view, Platform"
6631,Adventure Island II,1992,6.76,https://www.mobygames.com/game/6631/adventure-island-ii/,"Action, Arcade, Side view, Platform, 2D scrolling"
21531,Adventures of Lolo,1994,,https://www.mobygames.com/game/21531/adventures-of-lolo/,"Action, Arcade, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
56661,The Adventures of Rocky and Bullwinkle and Friends,1992,5.7,https://www.mobygames.com/game/56661/the-adventures-of-rocky-and-bullwinkle-and-friends/,"Action, Side view, Platform, Licensed"
32388,The Adventures of Star Saver,1991,6.05,https://www.mobygames.com/game/32388/the-adventures-of-star-saver/,"Action, Sci-fi / futuristic, Side view, Shooter, Mecha / giant robot, 2D scrolling"
31638,Aerostar,1991,,https://www.mobygames.com/game/31638/aerostar/,"Action, Top-down, Shooter"
54436,After Burst,1990,,https://www.mobygames.com/game/54436/after-burst/,"Action, Sci-fi / futuristic, Side view, Fixed / flip-screen"
12602,Alfred Chicken,1993,7.5,https://www.mobygames.com/game/12602/alfred-chicken/,"Action, Side view, Platform"
19424,Alien Olympics,1994,,https://www.mobygames.com/game/19424/alien-olympics/,"Action, Sports, Olympiad / mixed sports, 3rd-person (Other)"
24743,Alien vs Predator: The Last of His Clan,1993,5.52,https://www.mobygames.com/game/24743/alien-vs-predator-the-last-of-his-clan/,"Action, Sci-fi / futuristic, Side view, Licensed"
12751,Alien³,1993,6.45,https://www.mobygames.com/game/12751/alien3/,"Action, Sci-fi / futuristic, Top-down, Puzzle elements, Licensed, Horror"
59991,All-Star Baseball 99,1998,,https://www.mobygames.com/game/59991/all-star-baseball-99/,"Simulation, Sports, Isometric, Baseball, Licensed, 3rd-person (Other), Diagonal-down"
4280,Alleyway,1989,6.05,https://www.mobygames.com/game/4280/alleyway/,"Action, Arcade, Paddle / Pong"
54890,Altered Space: A 3-D Alien Adventure,1991,6.63,https://www.mobygames.com/game/54890/altered-space-a-3-d-alien-adventure/,"Action, Sci-fi / futuristic, Isometric, Puzzle elements, Diagonal-down"
54536,Amazing Penguin,1990,6.57,https://www.mobygames.com/game/54536/amazing-penguin/,"Action, Arcade, Diagonal-down, Fixed / flip-screen"
5833,The Amazing Spider-Man,1990,6.4,https://www.mobygames.com/game/5833/the-amazing-spider-man/,"Action, Side view, Licensed, 2D scrolling"
16425,Amazing Tater,1991,7.62,https://www.mobygames.com/game/16425/amazing-tater/,"Top-down, Puzzle, Fixed / flip-screen, Direct control"
77305,Amida,1990,,https://www.mobygames.com/game/77305/amida/,"Action, Arcade, Side view, Puzzle, Direct control"
216281,Animal Breeder,1997,,https://www.mobygames.com/game/216281/animal-breeder/,"Simulation, Anime / Manga, Turn-based, Fixed / flip-screen, Life / social simulation, Menu structures"
216282,Animal Breeder 2,1998,,https://www.mobygames.com/game/216282/animal-breeder-2/,"Simulation, Anime / Manga, Turn-based, Fixed / flip-screen, Life / social simulation, Menu structures"
5676,Animaniacs,1995,6.99,https://www.mobygames.com/game/5676/animaniacs/,"Action, Side view, Puzzle elements, Licensed, 2D scrolling"
11326,Another Bible,1995,,https://www.mobygames.com/game/11326/another-bible/,"Strategy / tactics, Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Diagonal-down, 2D scrolling, Fixed / flip-screen, Direct control"
6119,Arcade Classic 1: Asteroids / Missile Command,1995,7.19,https://www.mobygames.com/game/6119/arcade-classic-1-asteroids-missile-command/,"Action, Sci-fi / futuristic, Shooter, Compilation"
40281,Arcade Classic 2: Centipede / Millipede,1995,6.41,https://www.mobygames.com/game/40281/arcade-classic-2-centipede-millipede/,"Action, Arcade, Side view, Shooter, Compilation"
40282,Arcade Classic 3: Galaga / Galaxian,1995,7.37,https://www.mobygames.com/game/40282/arcade-classic-3-galaga-galaxian/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Compilation"
38721,Arcade Classic 4: Defender/Joust,1995,,https://www.mobygames.com/game/38721/arcade-classic-4-defenderjoust/,"Action, Arcade, Platform, Compilation"
38152,Arcade Classics: Battlezone/Super Breakout,1996,,https://www.mobygames.com/game/38152/arcade-classics-battlezonesuper-breakout/,"Action, Arcade, Paddle / Pong, Compilation"
13096,Aretha,1990,,https://www.mobygames.com/game/13096/aretha/,"Top-down, Role-playing (RPG), Fantasy, Turn-based, Japanese-style RPG (JRPG)"
13107,Aretha II,1991,,https://www.mobygames.com/game/13107/aretha-ii/,"Top-down, Role-playing (RPG), Fantasy, Turn-based, Japanese-style RPG (JRPG)"
13108,Aretha III,1992,,https://www.mobygames.com/game/13108/aretha-iii/,"Top-down, Role-playing (RPG), Fantasy, Turn-based, Japanese-style RPG (JRPG)"
8872,Asteroids,1992,6.26,https://www.mobygames.com/game/8872/asteroids/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Fixed / flip-screen, Space flight, Direct control"
54437,Astro Rabby,1990,,https://www.mobygames.com/game/54437/astro-rabby/,"Action, Arcade, Top-down, Platform, 2D scrolling"
17163,Astérix,1993,6.95,https://www.mobygames.com/game/17163/asterix/,"Action, Side view, Platform, Licensed, 2D scrolling"
36100,Astérix & Obélix,1995,,https://www.mobygames.com/game/36100/asterix-obelix/,"Action, Side view, Platform, Licensed, 2D scrolling, Classical antiquity"
48189,Atomic Punk,1990,7.31,https://www.mobygames.com/game/48189/atomic-punk/,"Action, Sci-fi / futuristic, Arcade, Top-down, 2D scrolling, Direct control"
55380,Attack of the Killer Tomatoes,1992,6.04,https://www.mobygames.com/game/55380/attack-of-the-killer-tomatoes/,"Action, Side view, Platform, Licensed, 2D scrolling"
32592,Avenging Spirit,1992,6.98,https://www.mobygames.com/game/32592/avenging-spirit/,"Action, Arcade, Side view, Platform, 2D scrolling"
215637,Ayakashi no Shiro,1990,,https://www.mobygames.com/game/215637/ayakashi-no-shiro/,"1st-person, Role-playing (RPG), Fantasy, Turn-based, Japan (Ancient/Classical/Medieval)"
5285,Balloon Kid,1990,6.79,https://www.mobygames.com/game/5285/balloon-kid/,"Action, Side view, Flight / aviation, Platform, Licensed, 2D scrolling, Regional differences"
221690,Banishing Racer,1991,,https://www.mobygames.com/game/221690/banishing-racer/,"Action, Side view, Platform, Anime / Manga, Fantasy, 2D scrolling, Direct control, Automobile, Contemporary, North America"
23617,Barbie Game Girl,1992,5.71,https://www.mobygames.com/game/23617/barbie-game-girl/,"Action, Side view, Platform, Licensed, 2D scrolling"
6147,Bart Simpson's Escape from Camp Deadly,1991,6.08,https://www.mobygames.com/game/6147/bart-simpsons-escape-from-camp-deadly/,"Action, Arcade, Side view, Platform, Licensed, 2D scrolling"
4516,Baseball,1989,5.21,https://www.mobygames.com/game/4516/baseball/,"Sports, Baseball, Diagonal-down"
37414,Bases Loaded,1990,,https://www.mobygames.com/game/37414/bases-loaded/,"Sports, Top-down, Isometric, Baseball"
5534,Batman Forever,1995,,https://www.mobygames.com/game/5534/batman-forever/,"Action, Side view, Platform, Martial arts, Licensed, Beat 'em up / brawler"
57692,Batman: Return of the Joker,1992,6.62,https://www.mobygames.com/game/57692/batman-return-of-the-joker/,"Action, Side view, Platform, Licensed, 2D scrolling"
5525,Batman: The Animated Series,1993,7.15,https://www.mobygames.com/game/5525/batman-the-animated-series/,"Action, Side view, Platform, Licensed"
4513,Batman: The Video Game,1990,7.52,https://www.mobygames.com/game/4513/batman-the-video-game/,"Action, Side view, Platform, Shooter, Licensed, 2D scrolling"
42583,Battle Arena Toshinden,1996,7.17,https://www.mobygames.com/game/42583/battle-arena-toshinden/,"Action, Side view, Fighting, Anime / Manga"
54441,Battle Bull,1990,,https://www.mobygames.com/game/54441/battle-bull/,"Action, Arcade, Top-down"
8277,Battle City,1991,,https://www.mobygames.com/game/8277/battle-city/,"Action, Top-down, Shooter, Tank"
173183,Battle of Kingdom,1991,,https://www.mobygames.com/game/173183/battle-of-kingdom/,"Strategy / tactics, Real-time, Side view, Board game, Fantasy, 2D scrolling, Menu structures, Real-time strategy (RTS)"
9860,The Battle of Olympus,1993,6.82,https://www.mobygames.com/game/9860/the-battle-of-olympus/,"Action, Side view, Metroidvania, 2D scrolling, Fixed / flip-screen, Classical antiquity"
54297,Battle Pingpong,1990,,https://www.mobygames.com/game/54297/battle-pingpong/,"Sports, 1st-person, Ping pong / table tennis"
60354,Battle Unit Zeoth,1990,,https://www.mobygames.com/game/60354/battle-unit-zeoth/,"Action, Sci-fi / futuristic, Side view, Platform, Shooter, Mecha / giant robot, 2D scrolling, Direct control"
54448,Battleship: The Classic Naval Combat Game,1989,6.38,https://www.mobygames.com/game/54448/battleship-the-classic-naval-combat-game/,"Strategy / tactics, Top-down, Board game, Naval / watercraft, Turn-based"
6134,Battletoads,1993,6.46,https://www.mobygames.com/game/6134/battletoads/,"Action, Sci-fi / futuristic, Side view, Platform, Surfing, Beat 'em up / brawler, 2D scrolling"
47916,Battletoads,1991,7.23,https://www.mobygames.com/game/47916/battletoads/,"Action, Sci-fi / futuristic, Arcade, Side view, Platform, Beat 'em up / brawler, 2D scrolling"
6154,Battletoads / Double Dragon,1993,6.32,https://www.mobygames.com/game/6154/battletoads-double-dragon/,"Action, Sci-fi / futuristic, Arcade, Side view, Platform, Licensed, Beat 'em up / brawler, 2D scrolling"
206453,Batty Zabella,2022,,https://www.mobygames.com/game/206453/batty-zabella/,"Action, Adventure, 1st-person, Real-time, Puzzle elements, Detective / mystery, Fantasy, Horror, Comedy, Fixed / flip-screen, Point and select"
146146,Beethoven,1994,,https://www.mobygames.com/game/146146/beethoven/,"Action, Side view, Platform, Licensed, 2D scrolling, Direct control"
4399,Beetlejuice,1992,5.99,https://www.mobygames.com/game/4399/beetlejuice/,"Action, Side view, Platform, Puzzle elements, Licensed"
