ID,Title,Release Year,Moby Score,URL,Genres
5798,007: Agent Under Fire,2002,7.28,https://www.mobygames.com/game/5798/007-agent-under-fire/,"Action, 1st-person, Shooter, Licensed, Spy / espionage"
12211,007: Everything or Nothing,2004,8.05,https://www.mobygames.com/game/12211/007-everything-or-nothing/,"Action, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
19879,007: From Russia with Love,2005,7.39,https://www.mobygames.com/game/19879/007-from-russia-with-love/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
7804,007: Nightfire,2002,7.58,https://www.mobygames.com/game/7804/007-nightfire/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
11232,1080° Avalanche,2003,7.46,https://www.mobygames.com/game/11232/1080-avalanche/,"Sports, Snowboarding / skiing, Tricks / stunts, Behind view"
6498,2002 FIFA World Cup,2002,7.16,https://www.mobygames.com/game/6498/2002-fifa-world-cup/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down, Direct control, Multiple units/characters control, Asia, Japan (Modern/Futuristic)"
14526,4x4 Evo 2,2002,6.23,https://www.mobygames.com/game/14526/4x4-evo-2/,"Sports, Racing / Driving, 1st-person, Off-roading, Licensed, Behind view, Vehicle simulator, Automobile"
23662,The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,2004,6.94,https://www.mobygames.com/game/23662/the-adventures-of-jimmy-neutron-boy-genius-attack-of-the-twonkie/,"Action, Puzzle elements, Fantasy, Licensed, Behind view"
81095,The Adventures of Jimmy Neutron: Boy Genius - Jet Fusion,2003,,https://www.mobygames.com/game/81095/the-adventures-of-jimmy-neutron-boy-genius-jet-fusion/,"Action, Sci-fi / futuristic, Flight / aviation, Platform, Shooter, Mecha / giant robot, Fantasy, Licensed, Spy / espionage, Bike / bicycling, Comedy, 3rd-person (Other), Behind view, Free camera, Contemporary"
6995,Aggressive Inline,2002,8.27,https://www.mobygames.com/game/6995/aggressive-inline/,"Sports, Skateboarding, Licensed, Tricks / stunts, Behind view"
15825,Alien Hominid,2004,7.12,https://www.mobygames.com/game/15825/alien-hominid/,"Action, Sci-fi / futuristic, Side view, Shooter, Fantasy, 2D scrolling, Regional differences"
5504,All-Star Baseball 2002,2001,6.4,https://www.mobygames.com/game/5504/all-star-baseball-2002/,"Sports, Baseball, Licensed, Behind view"
6419,All-Star Baseball 2003,2002,7.55,https://www.mobygames.com/game/6419/all-star-baseball-2003/,"Sports, Baseball, Licensed, Behind view"
11247,All-Star Baseball 2004,2003,7.42,https://www.mobygames.com/game/11247/all-star-baseball-2004/,"Sports, Baseball, Licensed"
15924,Amazing Island,2004,6.51,https://www.mobygames.com/game/15924/amazing-island/,"Action, Behind view"
25251,American Chopper 2: Full Throttle,2005,,https://www.mobygames.com/game/25251/american-chopper-2-full-throttle/,"Racing / Driving, Arcade, Motorcycle, Licensed, Behind view, Vehicle simulator"
7256,Animal Crossing,2002,7.98,https://www.mobygames.com/game/7256/animal-crossing/,"Simulation, Meditative / Zen, Persistent, Diagonal-down, Life / social simulation, Direct control, Regional differences"
20911,Animaniacs: The Great Edgar Hunt,2005,6.52,https://www.mobygames.com/game/20911/animaniacs-the-great-edgar-hunt/,"Action, Platform, Puzzle elements, Fantasy, Licensed, 3rd-person (Other)"
31965,The Ant Bully,2006,6.1,https://www.mobygames.com/game/31965/the-ant-bully/,"Action, Licensed, Behind view"
15109,Aquaman: Battle for Atlantis,2003,3.51,https://www.mobygames.com/game/15109/aquaman-battle-for-atlantis/,"Action, 1st-person, Arcade, Flight / aviation, Licensed, 3rd-person (Other)"
34873,Archer Maclean Presents Pool Paradise,2004,7.34,https://www.mobygames.com/game/34873/archer-maclean-presents-pool-paradise/,"Sports, 1st-person, Pool / snooker"
6420,Army Men RTS,2004,,https://www.mobygames.com/game/6420/army-men-rts/,"Strategy / tactics, Real-time, War, Diagonal-down, Point and select, Multiple units/characters control, Real-time strategy (RTS)"
28981,Army Men: Air Attack 2,2003,5.91,https://www.mobygames.com/game/28981/army-men-air-attack-2/,"Action, Helicopter, 3rd-person (Other)"
15226,Army Men: Sarge's War,2004,6.95,https://www.mobygames.com/game/15226/army-men-sarges-war/,"Action, 1st-person, Shooter, Behind view, Direct control"
14892,Asterix and Obelix: Kick Buttix,2004,6.9,https://www.mobygames.com/game/14892/asterix-and-obelix-kick-buttix/,"Action, Racing / Driving, Puzzle elements, Fantasy, Licensed, Behind view, Classical antiquity"
12681,ATV: Quad Power Racing 2,2003,7.45,https://www.mobygames.com/game/12681/atv-quad-power-racing-2/,"Racing / Driving, Arcade, Off-roading, Behind view, Vehicle simulator"
9950,Auto Modellista,2003,6.89,https://www.mobygames.com/game/9950/auto-modellista/,"Racing / Driving, Arcade, Anime / Manga, Automobile, Track racing"
25427,Avatar: The Last Airbender,2006,6.33,https://www.mobygames.com/game/25427/avatar-the-last-airbender/,"Action, Top-down, Puzzle elements, Anime / Manga, Fantasy, Licensed, RPG elements"
11842,Backyard Baseball,2003,,https://www.mobygames.com/game/11842/backyard-baseball/,"Sports, Baseball, Licensed, 3rd-person (Other)"
20991,Backyard Football,2002,,https://www.mobygames.com/game/20991/backyard-football/,"Sports, Football (American), 3rd-person (Other)"
69353,Backyard Sports: Baseball 2007,2007,,https://www.mobygames.com/game/69353/backyard-sports-baseball-2007/,"Sports, Baseball, Licensed, 3rd-person (Other)"
27995,Bad Boys: Miami Takedown,2004,5.15,https://www.mobygames.com/game/27995/bad-boys-miami-takedown/,"Action, 1st-person, Shooter, Licensed, Behind view"
5805,Baldur's Gate: Dark Alliance,2002,7.45,https://www.mobygames.com/game/5805/baldurs-gate-dark-alliance/,"Real-time, Role-playing (RPG), Hack and slash, Fantasy, Licensed, Diagonal-down, 2D scrolling, Action RPG"
73303,Barbarian,2003,,https://www.mobygames.com/game/73303/barbarian/,"Action, Fighting, Fantasy, 3rd-person (Other), Direct control"
27910,Barnyard,2006,6.79,https://www.mobygames.com/game/27910/barnyard/,"Action, Licensed, 3rd-person (Other)"
