ID,Title,Release Year,Moby Score,URL,Genres
26268,'89 Dennō Kyūsei Uranai,1988,,https://www.mobygames.com/game/26268/89-denno-kyusei-uranai/,"Simulation, 1st-person, Anime / Manga"
48760,10-Yard Fight,1985,4.35,https://www.mobygames.com/game/48760/10-yard-fight/,"Sports, Top-down, Football (American), Regional differences"
7949,1942,1985,5.47,https://www.mobygames.com/game/7949/1942/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
8560,1943: The Battle of Midway,1988,7.13,https://www.mobygames.com/game/8560/1943-the-battle-of-midway/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
22533,1991 Du Ma Racing,1991,,https://www.mobygames.com/game/22533/1991-du-ma-racing/,"Sports, Side view, Horse / derby"
26269,"1999: Hore, Mita koto ka! Seikimatsu",1992,,https://www.mobygames.com/game/26269/1999-hore-mita-koto-ka-seikimatsu/,"Simulation, Strategy / tactics, Top-down, Board game, Anime / Manga"
71195,19: Neunzehn,1988,,https://www.mobygames.com/game/71195/19-neunzehn/,"Strategy / tactics, Top-down, Turn-based"
11086,3-D WorldRunner,1987,6.09,https://www.mobygames.com/game/11086/3-d-worldrunner/,"Action, Sci-fi / futuristic, Arcade, Behind view"
8309,4 Nin Uchi Mahjong,1984,,https://www.mobygames.com/game/8309/4-nin-uchi-mahjong/,"Strategy / tactics, Cards / tiles"
35479,6-in-1,1992,,https://www.mobygames.com/game/35479/6-in-1/,"Action, Sci-fi / futuristic, Top-down, Side view, Shooter, Compilation, Puzzle, Behind view, Direct control"
10257,720º,1989,5.09,https://www.mobygames.com/game/10257/720o/,"Sports, Arcade, Skateboarding, Tricks / stunts, Diagonal-down"
10041,8 Eyes,1988,5.28,https://www.mobygames.com/game/10041/8-eyes/,"Action, Side view, Platform, 2D scrolling"
97640,8-Bit Collection: Culture Brain Vol. 1,2017,,https://www.mobygames.com/game/97640/8-bit-collection-culture-brain-vol-1/,"Action, Arcade, Top-down, Side view, Isometric, Martial arts, Fighting, Role-playing (RPG), Compilation, RPG elements"
138520,8-Bit Collection: Data East Vol. 1,2018,,https://www.mobygames.com/game/138520/8-bit-collection-data-east-vol-1/,Compilation
97617,8-Bit Collection: Jaleco Vol. 1,2017,,https://www.mobygames.com/game/97617/8-bit-collection-jaleco-vol-1/,Compilation
138519,8-Bit Collection: Jaleco Vol. 2,2018,,https://www.mobygames.com/game/138519/8-bit-collection-jaleco-vol-2/,Compilation
44868,A Nightmare on Elm Street,1990,5.5,https://www.mobygames.com/game/44868/a-nightmare-on-elm-street/,"Action, Side view, Licensed, Horror, 2D scrolling"
51412,A Ressha de Ikō,1991,,https://www.mobygames.com/game/51412/a-ressha-de-iko/,"Simulation, Top-down, Real-time, Managerial / business simulation, Train"
26275,Aa Yakyū Jinsei Icchokusen,1992,,https://www.mobygames.com/game/26275/aa-yakyu-jinsei-icchokusen/,"Action, Strategy / tactics, Sports, Platform, Board game, Baseball, Anime / Manga"
11083,Abadox: The Deadly Inner War,1989,6.43,https://www.mobygames.com/game/11083/abadox-the-deadly-inner-war/,"Action, Sci-fi / futuristic, Top-down, Side view, Shooter, 2D scrolling"
7762,Action 52,1991,2.31,https://www.mobygames.com/game/7762/action-52/,"Action, Sci-fi / futuristic, Arcade, Top-down, Side view, Platform, Shooter, Compilation, Tank, Beat 'em up / brawler, 2D scrolling, Fixed / flip-screen, Space flight, Automobile, Middle East"
45659,The Addams Family,1992,6.05,https://www.mobygames.com/game/45659/the-addams-family/,"Action, Side view, Platform, Licensed, 2D scrolling"
5646,The Addams Family: Pugsley's Scavenger Hunt,1992,5.68,https://www.mobygames.com/game/5646/the-addams-family-pugsleys-scavenger-hunt/,"Action, Side view, Platform, Licensed, 2D scrolling"
57241,Adian no Tsue,1986,,https://www.mobygames.com/game/57241/adian-no-tsue/,"Action, Educational, Top-down, Math / logic, Fixed / flip-screen"
6628,Adventure Island,1986,6.32,https://www.mobygames.com/game/6628/adventure-island/,"Action, Arcade, Side view, Platform, 2D scrolling, Oceania"
7483,Adventure Island 3,1992,7.07,https://www.mobygames.com/game/7483/adventure-island-3/,"Action, Arcade, Side view, Platform"
6631,Adventure Island II,1991,7.24,https://www.mobygames.com/game/6631/adventure-island-ii/,"Action, Arcade, Side view, Platform, 2D scrolling"
8760,The Adventures of Bayou Billy,1988,5.61,https://www.mobygames.com/game/8760/the-adventures-of-bayou-billy/,"Action, Racing / Driving, Side view, Beat 'em up / brawler, Behind view, 2D scrolling, Regional differences"
497,The Adventures of Captain Comic,1989,5.53,https://www.mobygames.com/game/497/the-adventures-of-captain-comic/,"Action, Sci-fi / futuristic, Side view, Platform, Metroidvania, 2D scrolling"
13000,Adventures of Dino-Riki,1987,5.89,https://www.mobygames.com/game/13000/adventures-of-dino-riki/,"Action, Top-down, Shooter, 2D scrolling, Direct control, Prehistoric"
12802,The Adventures of Gilligan's Island,1990,,https://www.mobygames.com/game/12802/the-adventures-of-gilligans-island/,"Action, Arcade, Side view, Licensed, 2D scrolling"
7504,Adventures of Lolo,1989,7.47,https://www.mobygames.com/game/7504/adventures-of-lolo/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
7505,Adventures of Lolo 2,1990,7.6,https://www.mobygames.com/game/7505/adventures-of-lolo-2/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
7506,Adventures of Lolo 3,1990,7.74,https://www.mobygames.com/game/7506/adventures-of-lolo-3/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
11986,The Adventures of Rad Gravity,1990,6.59,https://www.mobygames.com/game/11986/the-adventures-of-rad-gravity/,"Action, Sci-fi / futuristic, Platform"
52501,The Adventures of Rocky and Bullwinkle and Friends,1992,3.69,https://www.mobygames.com/game/52501/the-adventures-of-rocky-and-bullwinkle-and-friends/,"Action, Side view, Platform, Licensed, 2D scrolling"
14504,Adventures of Tom Sawyer,1989,4.91,https://www.mobygames.com/game/14504/adventures-of-tom-sawyer/,"Action, Arcade, Top-down, Side view, Platform"
19666,Aeroboto,1985,,https://www.mobygames.com/game/19666/aeroboto/,"Action, Arcade, Side view, Shooter, Mecha / giant robot, 2D scrolling"
80920,After Burner II,1989,,https://www.mobygames.com/game/80920/after-burner-ii/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
7009,After Burner II,1989,6.03,https://www.mobygames.com/game/7009/after-burner-ii/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
17736,Ai Sensei no Oshiete: Watashi no Hoshi,1993,,https://www.mobygames.com/game/17736/ai-sensei-no-oshiete-watashi-no-hoshi/,"Simulation, 1st-person, Anime / Manga"
62613,Ai Senshi Nicol,1987,,https://www.mobygames.com/game/62613/ai-senshi-nicol/,"Action, Sci-fi / futuristic, Shooter, Diagonal-down, Fixed / flip-screen"
17735,Aigina's Prophecy,1986,,https://www.mobygames.com/game/17735/aiginas-prophecy/,"Action, Top-down, Side view, Platform, Fantasy"
11663,Air Fortress,1987,6.62,https://www.mobygames.com/game/11663/air-fortress/,"Action, Sci-fi / futuristic, Arcade, Side view, Platform, Shooter"
21167,Airwolf,1988,,https://www.mobygames.com/game/21167/airwolf/,"Action, 1st-person, Arcade, Side view, Shooter, Helicopter"
11977,Airwolf,1989,4.82,https://www.mobygames.com/game/11977/airwolf/,"Action, Simulation, 1st-person, Arcade, Side view, Flight / aviation, Helicopter, Licensed"
17737,Akagawa Jirō no Yūrei Ressha,1991,,https://www.mobygames.com/game/17737/akagawa-jiro-no-yurei-ressha/,"Adventure, 1st-person, Real-time, Detective / mystery, Anime / Manga, Licensed, 3rd-person (Other), Japanese-style adventure, Menu structures"
13653,Akira,1988,,https://www.mobygames.com/game/13653/akira/,"Adventure, 1st-person, Sci-fi / futuristic, Interactive fiction / text adventure, Anime / Manga, Post-apocalyptic, Licensed, Japanese-style adventure, Text parser"
13426,Akuma-kun: Makai no Wana,1990,,https://www.mobygames.com/game/13426/akuma-kun-makai-no-wana/,"Top-down, Side view, Role-playing (RPG), Anime / Manga, Turn-based"
30944,Akumajō Special: Boku Dracula-kun,1990,7.43,https://www.mobygames.com/game/30944/akumajo-special-boku-dracula-kun/,"Action, Side view, Platform, Fantasy, Comedy, 2D scrolling"
187745,Akū Senki Raijin,1988,,https://www.mobygames.com/game/187745/aku-senki-raijin/,"Action, Sci-fi / futuristic, Shooter, Diagonal-down, 2D scrolling, Direct control"
13005,Al Unser Jr. Turbo Racing,1989,6.2,https://www.mobygames.com/game/13005/al-unser-jr-turbo-racing/,"Action, Racing / Driving, Licensed, Behind view, Automobile, Track racing, Asia, Europe, North America, Oceania, Regional differences, Japan (Modern/Futuristic)"
136896,Alfonzo's Arctic Adventure,2019,,https://www.mobygames.com/game/136896/alfonzos-arctic-adventure/,"Action, Side view, Platform, 2D scrolling, Direct control"
12602,Alfred Chicken,1993,6.42,https://www.mobygames.com/game/12602/alfred-chicken/,"Action, Side view, Platform"
1030,Alien Syndrome,1988,6.2,https://www.mobygames.com/game/1030/alien-syndrome/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, 2D scrolling, Direct control"
41097,Alien³,1993,5.89,https://www.mobygames.com/game/41097/alien3/,"Action, Sci-fi / futuristic, Side view, Platform, Licensed, 2D scrolling"
210569,All 1,1991,,https://www.mobygames.com/game/210569/all-1/,"Top-down, Puzzle elements, Puzzle, Fixed / flip-screen"
58648,All Night Nippon Super Mario Bros.,1986,,https://www.mobygames.com/game/58648/all-night-nippon-super-mario-bros/,"Action, Side view, Platform, Licensed, 2D scrolling, Direct control"
10330,All-Pro Basketball,1989,,https://www.mobygames.com/game/10330/all-pro-basketball/,"Sports, Basketball, Diagonal-down, 2D scrolling"
13015,Alpha Mission,1986,5.37,https://www.mobygames.com/game/13015/alpha-mission/,"Action, Sci-fi / futuristic, Top-down, Shooter"
76324,Alter Ego,2011,,https://www.mobygames.com/game/76324/alter-ego/,"Action, Side view, Platform, Puzzle elements"
2019,Altered Beast,1990,,https://www.mobygames.com/game/2019/altered-beast/,"Action, Side view, Platform, Beat 'em up / brawler, 2D scrolling"
83171,Alwa's Awakening,2022,,https://www.mobygames.com/game/83171/alwas-awakening/,"Action, Platform, Metroidvania, Puzzle elements, Fantasy, Fixed / flip-screen, Direct control"
10788,Amagon,1988,5.36,https://www.mobygames.com/game/10788/amagon/,"Action, Arcade, Side view, Platform, Shooter, 2D scrolling"
17748,America Daitōryō Senkyo,1988,,https://www.mobygames.com/game/17748/america-daitoryo-senkyo/,"Simulation, Strategy / tactics, 1st-person"
26295,America! Ōdan Ultra Quiz: Shijō Saidai no Tatakai,1991,,https://www.mobygames.com/game/26295/america-odan-ultra-quiz-shijo-saidai-no-tatakai/,"Action, Simulation, 1st-person, Top-down, Game show / trivia / quiz, Licensed"
26296,American Dream,1989,,https://www.mobygames.com/game/26296/american-dream/,"Top-down, Real-time, Side view, Gambling, 2D scrolling, Direct control"
9691,American Gladiators,1991,5.41,https://www.mobygames.com/game/9691/american-gladiators/,"Action, Simulation, Top-down, Side view, Platform, Game show / trivia / quiz, Fighting, Licensed"
205164,Animalia Dreamland,2022,,https://www.mobygames.com/game/205164/animalia-dreamland/,"Action, Side view, Platform, Fixed / flip-screen, Direct control"
17755,Ankoku Shinwa: Yamato Takeru Densetsu,1989,,https://www.mobygames.com/game/17755/ankoku-shinwa-yamato-takeru-densetsu/,"Adventure, 1st-person, Real-time, Fantasy, Fixed / flip-screen, Japanese-style adventure, Menu structures"
11543,Antarctic Adventure,1985,6.63,https://www.mobygames.com/game/11543/antarctic-adventure/,"Action, Arcade, Behind view"
8697,Anticipation,1988,6.11,https://www.mobygames.com/game/8697/anticipation/,"Strategy / tactics, Board game, Party game"
144880,AO,2016,,https://www.mobygames.com/game/144880/ao/,"Top-down, Real-time, Puzzle, Fixed / flip-screen, Direct control"
63719,Apple Town Monogatari: Little Computer People,1987,,https://www.mobygames.com/game/63719/apple-town-monogatari-little-computer-people/,"Simulation, Real-time, Side view, Anime / Manga, Fixed / flip-screen, Life / social simulation, Menu structures, Contemporary"
11417,Arabian,1985,5.52,https://www.mobygames.com/game/11417/arabian/,"Action, Side view, Platform, Fixed / flip-screen, Middle East"
13023,Arch Rivals,1990,6.08,https://www.mobygames.com/game/13023/arch-rivals/,"Sports, Side view, Basketball, 2D scrolling"
73,Archon: The Light and the Dark,1989,6.75,https://www.mobygames.com/game/73/archon-the-light-and-the-dark/,"Action, Strategy / tactics, Top-down, Real-time, Turn-based"
47226,Arctic,1990,,https://www.mobygames.com/game/47226/arctic/,"Action, Top-down, Puzzle, Fixed / flip-screen"
14505,Argus,1986,,https://www.mobygames.com/game/14505/argus/,"Action, Sci-fi / futuristic, Arcade, Top-down, Side view, Shooter, 2D scrolling"
1087,Arkanoid,1986,6.87,https://www.mobygames.com/game/1087/arkanoid/,"Action, Sci-fi / futuristic, Arcade, Top-down, Paddle / Pong, Fixed / flip-screen, Regional differences"
1088,Arkanoid: Revenge of DOH,1988,,https://www.mobygames.com/game/1088/arkanoid-revenge-of-doh/,"Action, Arcade, Side view, Paddle / Pong, Fixed / flip-screen"
14506,Arkista's Ring,1990,6.63,https://www.mobygames.com/game/14506/arkistas-ring/,"Action, Top-down, Puzzle elements, Anime / Manga, Fantasy"
17776,Armadillo,1991,,https://www.mobygames.com/game/17776/armadillo/,"Action, Side view, Platform"
26322,Artelius,1987,,https://www.mobygames.com/game/26322/artelius/,"Action, 1st-person, Sci-fi / futuristic, Top-down, Shooter, Role-playing (RPG), Anime / Manga"
63360,Arumana no Kiseki,1987,,https://www.mobygames.com/game/63360/arumana-no-kiseki/,"Action, Side view, 2D scrolling"
26323,Asmik-kun Land,1991,,https://www.mobygames.com/game/26323/asmik-kun-land/,"Action, Platform, Fantasy"
119781,Aspic,1988,,https://www.mobygames.com/game/119781/aspic/,"Action, 1st-person, Top-down, Fantasy, 2D scrolling, Action RPG, Direct control"
26324,Astro Fang: Super Machine,1990,,https://www.mobygames.com/game/26324/astro-fang-super-machine/,"Racing / Driving, Sci-fi / futuristic, Behind view, Automobile"
11945,Astyanax,1989,6.84,https://www.mobygames.com/game/11945/astyanax/,"Action, Side view, Platform, Anime / Manga, Fantasy"
17163,Astérix,1993,7.21,https://www.mobygames.com/game/17163/asterix/,"Action, Side view, Platform, Licensed, 2D scrolling"
13026,Athena,1987,4.36,https://www.mobygames.com/game/13026/athena/,"Action, Side view, Platform, Fantasy, 2D scrolling"
14507,Athletic World,1986,6.54,https://www.mobygames.com/game/14507/athletic-world/,"Sports, Real-time, Side view, Olympiad / mixed sports"
26328,Atlantis no Nazo,1986,,https://www.mobygames.com/game/26328/atlantis-no-nazo/,"Action, Side view, Platform, 2D scrolling"
23262,Attack Animal Gakuen,1987,,https://www.mobygames.com/game/23262/attack-animal-gakuen/,"Action, Sci-fi / futuristic, Shooter, Behind view"
11893,Attack of the Killer Tomatoes,1991,4.97,https://www.mobygames.com/game/11893/attack-of-the-killer-tomatoes/,"Action, Side view, Platform, Licensed"
17777,Aussie Rules Footy,1991,,https://www.mobygames.com/game/17777/aussie-rules-footy/,"Sports, Isometric, Oceania"
59176,Auto-Upturn,1991,,https://www.mobygames.com/game/59176/auto-upturn/,"Action, Top-down, Cards / tiles, Adult, Puzzle, Fixed / flip-screen, Direct control"
26330,B-Wings: Battle Wings,1986,,https://www.mobygames.com/game/26330/b-wings-battle-wings/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, 2D scrolling"
52404,Babel no Tō,1986,,https://www.mobygames.com/game/52404/babel-no-to/,"Action, Side view, Platform, Puzzle elements, 2D scrolling"
13029,Baby Boomer,1989,,https://www.mobygames.com/game/13029/baby-boomer/,"Action, Side view, Shooter, 2D scrolling"
10283,Back to the Future,1989,3.93,https://www.mobygames.com/game/10283/back-to-the-future/,"Action, Top-down, Licensed"
12094,Back to the Future Part II & III,1990,4.85,https://www.mobygames.com/game/12094/back-to-the-future-part-ii-iii/,"Action, Sci-fi / futuristic, Side view, Platform, Puzzle elements, Licensed"
169521,Backgammon,1990,,https://www.mobygames.com/game/169521/backgammon/,"Strategy / tactics, 1st-person, Top-down, Board game, Turn-based, Fixed / flip-screen, Menu structures, Turn-based strategy (TBS)"
1299,Bad Dudes,1989,6.11,https://www.mobygames.com/game/1299/bad-dudes/,"Action, Side view, Beat 'em up / brawler, 2D scrolling, Regional differences"
10288,Bad News Baseball,1989,7.11,https://www.mobygames.com/game/10288/bad-news-baseball/,"Sports, Baseball"
291,Bad Street Brawler,1989,4.92,https://www.mobygames.com/game/291/bad-street-brawler/,"Action, Side view, Beat 'em up / brawler, 2D scrolling"
26334,Bakushō! Star Monomane Shitennō,1990,,https://www.mobygames.com/game/26334/bakusho-star-monomane-shitenno/,"Simulation, Strategy / tactics, Top-down, Platform, Board game, Licensed"
17779,Bakushō!! Ai no Gekijō,1990,,https://www.mobygames.com/game/17779/bakusho-ai-no-gekijo/,"Simulation, Board game"
17780,Bakushō!! Jinsei Gekijō,1989,,https://www.mobygames.com/game/17780/bakusho-jinsei-gekijo/,"Simulation, Board game"
17781,Bakushō!! Jinsei Gekijō 2,1991,,https://www.mobygames.com/game/17781/bakusho-jinsei-gekijo-2/,"Simulation, Board game"
17782,Bakushō!! Jinsei Gekijō 3,1991,,https://www.mobygames.com/game/17782/bakusho-jinsei-gekijo-3/,"Simulation, Top-down, Board game"
164302,Bakutōshi Patton-Kun,1988,,https://www.mobygames.com/game/164302/bakutoshi-patton-kun/,"Action, Arcade, Top-down, Tank, Fixed / flip-screen, Direct control"
10471,Ballblazer,1988,,https://www.mobygames.com/game/10471/ballblazer/,"Action, Sports, 1st-person, Sci-fi / futuristic"
8391,Balloon Fight,1985,6.96,https://www.mobygames.com/game/8391/balloon-fight/,"Action, Arcade, Side view, Platform, 2D scrolling"
5285,Balloon Kid,1992,,https://www.mobygames.com/game/5285/balloon-kid/,"Action, Side view, Flight / aviation, Platform, Licensed, 2D scrolling, Regional differences"
53125,Baltron,1986,,https://www.mobygames.com/game/53125/baltron/,"Action, Sci-fi / futuristic, Side view, Shooter, 2D scrolling, Space flight, Direct control"
26339,Banana,1986,,https://www.mobygames.com/game/26339/banana/,"Real-time, Side view, Platform, Puzzle, Fixed / flip-screen, Direct control"
17799,Banana Prince,1991,6.73,https://www.mobygames.com/game/17799/banana-prince/,"Action, Side view, Platform, Fantasy, 2D scrolling"
10484,Bandai Golf: Challenge Pebble Beach,1989,5.86,https://www.mobygames.com/game/10484/bandai-golf-challenge-pebble-beach/,"Sports, Top-down, Side view, Golf"
2137,Bandit Kings of Ancient China,1990,,https://www.mobygames.com/game/2137/bandit-kings-of-ancient-china/,"Strategy / tactics, Top-down, Historical events, Managerial / business simulation, Turn-based, China (Ancient / Imperial)"
23752,Barbie,1991,5.21,https://www.mobygames.com/game/23752/barbie/,"Action, Side view, Platform, Licensed"
1273,The Bard's Tale II: The Destiny Knight,1992,,https://www.mobygames.com/game/1273/the-bards-tale-ii-the-destiny-knight/,"1st-person, Role-playing (RPG), Fantasy, Turn-based"
13076,Barker Bill's Trick Shooting,1990,6.56,https://www.mobygames.com/game/13076/barker-bills-trick-shooting/,"Action, 1st-person, Arcade, Shooter"
11139,Base Wars - Cyber Stadium Series,1991,6.98,https://www.mobygames.com/game/11139/base-wars-cyber-stadium-series/,"Action, Sports, Sci-fi / futuristic, Baseball, Fighting"
4516,Baseball,1983,4.97,https://www.mobygames.com/game/4516/baseball/,"Sports, Baseball, Diagonal-down"
10308,Baseball Simulator 1.000,1989,6.92,https://www.mobygames.com/game/10308/baseball-simulator-1000/,"Sports, Arcade, Baseball, Diagonal-down"
7718,Baseball Stars,1989,7.81,https://www.mobygames.com/game/7718/baseball-stars/,"Sports, Arcade, Baseball, Diagonal-down"
10281,Baseball Stars 2,1992,7.8,https://www.mobygames.com/game/10281/baseball-stars-2/,"Sports, Baseball, Diagonal-down"
7374,Bases Loaded,1987,6.61,https://www.mobygames.com/game/7374/bases-loaded/,"Sports, Baseball, Behind view, Diagonal-down"
14509,Bases Loaded 3,1990,5.9,https://www.mobygames.com/game/14509/bases-loaded-3/,"Sports, Baseball, Behind view, Diagonal-down"
14510,Bases Loaded 4,1991,,https://www.mobygames.com/game/14510/bases-loaded-4/,"Sports, Baseball, Behind view, Diagonal-down"
11119,Bases Loaded II: Second Season,1988,5.94,https://www.mobygames.com/game/11119/bases-loaded-ii-second-season/,"Sports, Baseball, Behind view, Diagonal-down"
38674,Batman Returns,1993,6.64,https://www.mobygames.com/game/38674/batman-returns/,"Action, Racing / Driving, Side view, Licensed, Beat 'em up / brawler, 2D scrolling"
5505,Batman: Return of the Joker,1991,7.08,https://www.mobygames.com/game/5505/batman-return-of-the-joker/,"Action, Side view, Platform, Licensed, 2D scrolling"
31037,Batman: The Video Game,1989,7.99,https://www.mobygames.com/game/31037/batman-the-video-game/,"Action, Side view, Platform, Licensed, 2D scrolling"
68954,Bats & Terry,1987,,https://www.mobygames.com/game/68954/bats-terry/,"Action, Side view, Platform, Anime / Manga, Licensed, 2D scrolling"
1950,Battle Chess,1990,5.54,https://www.mobygames.com/game/1950/battle-chess/,"Strategy / tactics, Chess, Top-down, Board game, Fantasy, Turn-based"
8277,Battle City,1985,7.61,https://www.mobygames.com/game/8277/battle-city/,"Action, Top-down, Shooter, Tank"
