ID,Title,Release Year,Moby Score,URL,Genres
85980,10-in-1: Arcade Collection,2013,,https://www.mobygames.com/game/85980/10-in-1-arcade-collection/,"Action, Arcade"
98810,1000m Zombie Escape!,2017,,https://www.mobygames.com/game/98810/1000m-zombie-escape/,"Action, Fantasy, Diagonal-down, 2D scrolling, Direct control"
92831,101 DinoPets 3D,2013,,https://www.mobygames.com/game/92831/101-dinopets-3d/,"Simulation, 3rd-person (Other)"
92828,101 Penguin Pets 3D,2013,,https://www.mobygames.com/game/92828/101-penguin-pets-3d/,"Simulation, 3rd-person (Other)"
92830,101 Pony Pets 3D,2014,,https://www.mobygames.com/game/92830/101-pony-pets-3d/,"Simulation, 3rd-person (Other)"
43860,1912: Titanic Mystery,2015,,https://www.mobygames.com/game/43860/1912-titanic-mystery/,"1st-person, Hidden object, Puzzle, Contemporary"
85108,2 Fast 4 Gnomz,2012,6.69,https://www.mobygames.com/game/85108/2-fast-4-gnomz/,"Action, Side view, Platform"
92497,2048,2014,6.52,https://www.mobygames.com/game/92497/2048/,"Puzzle, Fixed / flip-screen, Point and select"
223729,3D Fantasy Zone II W,2014,,https://www.mobygames.com/game/223729/3d-fantasy-zone-ii-w/,"Action, Side view, Shooter, 2D scrolling"
92811,3D Game Collection,2012,,https://www.mobygames.com/game/92811/3d-game-collection/,"Strategy / tactics, Top-down, Real-time, Side view, Board game, Cards / tiles, Turn-based, Mental training, Hidden object, Puzzle, Falling block puzzle, Tile matching puzzle, Point and select"
61944,3D MahJongg,2012,,https://www.mobygames.com/game/61944/3d-mahjongg/,"Top-down, Cards / tiles, Puzzle, Fixed / flip-screen, Tile matching puzzle, Point and select"
220747,3D Ryōme de Unō o Kitaeru: Sokudoku Jutsu,2011,,https://www.mobygames.com/game/220747/3d-ryome-de-uno-o-kitaeru-sokudoku-jutsu/,"Educational, Reading / writing, Meditative / Zen, Mental training, Puzzle, Fixed / flip-screen, Point and select"
99961,3D Solitaire,2012,5.99,https://www.mobygames.com/game/99961/3d-solitaire/,"Top-down, Cards / tiles, Turn-based, Puzzle"
148578,3in1 Horses: My Riding Stables 3D - Jumping for the Team + Riding Star 3D + My Western Horse 3D,2017,,https://www.mobygames.com/game/148578/3in1-horses-my-riding-stables-3d-jumping-for-the-team-riding-sta/,Compilation
36224,4 Elements,2013,,https://www.mobygames.com/game/36224/4-elements/,"Side view, Fantasy, Hidden object, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle, Point and select"
99810,50 Classic Games 3D,2012,,https://www.mobygames.com/game/99810/50-classic-games-3d/,"1st-person, Chess, Board game, Cards / tiles, Gambling, Tile matching puzzle"
100420,50 Pinch Barrage!!,2015,,https://www.mobygames.com/game/100420/50-pinch-barrage/,"Action, Side view, Platform, 2D scrolling, Direct control"
85326,7th Dragon III: Code:VFD,2015,7.46,https://www.mobygames.com/game/85326/7th-dragon-iii-codevfd/,"1st-person, Role-playing (RPG), Fantasy, Turn-based, 3rd-person (Other), Free camera, Japanese-style RPG (JRPG), Direct control, Menu structures"
99119,80's Overdrive,2017,7.15,https://www.mobygames.com/game/99119/80s-overdrive/,"Racing / Driving, Behind view, Direct control, Automobile, Street racing"
91507,A-Train 3D: City Simulator,2014,,https://www.mobygames.com/game/91507/a-train-3d-city-simulator/,"Simulation, Isometric, Managerial / business simulation, Train, Vehicle simulator"
67165,Aban Hawkins & the 1001 Spikes: The Temple of the Dead Mourns the Living,2014,,https://www.mobygames.com/game/67165/aban-hawkins-the-1001-spikes-the-temple-of-the-dead-mourns-the-l/,"Action, Arcade, Side view, Platform"
53794,Ace Combat: Assault Horizon - Legacy,2011,6.93,https://www.mobygames.com/game/53794/ace-combat-assault-horizon-legacy/,"Action, 1st-person, Flight / aviation, Behind view, Vehicular combat"
96509,Ace Combat: Assault Horizon - Legacy+,2015,,https://www.mobygames.com/game/96509/ace-combat-assault-horizon-legacy/,"Action, 1st-person, Flight / aviation, Behind view, Vehicular combat"
32773,Advance Wars: Days of Ruin,2013,,https://www.mobygames.com/game/32773/advance-wars-days-of-ruin/,"Strategy / tactics, Top-down, Isometric, Post-apocalyptic, Turn-based"
98861,Adventure Bar Story,2014,,https://www.mobygames.com/game/98861/adventure-bar-story/,"Top-down, Role-playing (RPG), Anime / Manga, Fantasy, 2D scrolling"
6631,Adventure Island II,2011,,https://www.mobygames.com/game/6631/adventure-island-ii/,"Action, Arcade, Side view, Platform, 2D scrolling"
98862,Adventure Labyrinth Story,2016,,https://www.mobygames.com/game/98862/adventure-labyrinth-story/,"Role-playing (RPG), Anime / Manga, Fantasy, Diagonal-down, Roguelike"
91443,Adventure Time: Explore the Dungeon Because I Don't Know!,2013,5.09,https://www.mobygames.com/game/91443/adventure-time-explore-the-dungeon-because-i-dont-know/,"Action, Fantasy, Licensed, Comedy, Diagonal-down, 2D scrolling"
82855,Adventure Time: Finn and Jake Investigations,2015,,https://www.mobygames.com/game/82855/adventure-time-finn-and-jake-investigations/,"Action, Puzzle elements, Detective / mystery, Fantasy, Licensed, Beat 'em up / brawler, 3rd-person (Other), Diagonal-down, Cinematic camera"
87135,Adventure Time: Hey Ice King Why'd You Steal Our Garbage?!!,2012,,https://www.mobygames.com/game/87135/adventure-time-hey-ice-king-whyd-you-steal-our-garbage/,"Action, Side view, Fantasy, Licensed, 2D scrolling"
78215,Adventure Time: The Secret of the Nameless Kingdom,2014,,https://www.mobygames.com/game/78215/adventure-time-the-secret-of-the-nameless-kingdom/,"Action, Puzzle elements, Post-apocalyptic, Fantasy, Licensed, Diagonal-down, 2D scrolling"
7504,Adventures of Lolo,2015,,https://www.mobygames.com/game/7504/adventures-of-lolo/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
7505,Adventures of Lolo 2,2014,,https://www.mobygames.com/game/7505/adventures-of-lolo-2/,"Action, Puzzle, Diagonal-down, Fixed / flip-screen, Direct control"
53886,The Adventures of Tintin: The Game,2011,6.49,https://www.mobygames.com/game/53886/the-adventures-of-tintin-the-game/,"Action, Side view, Platform, Licensed, 2D scrolling"
92510,Aero Porter,2012,6.72,https://www.mobygames.com/game/92510/aero-porter/,"Real-time, Side view, Puzzle, Fixed / flip-screen"
82870,AeternoBlade,2014,,https://www.mobygames.com/game/82870/aeternoblade/,"Action, Side view, Metroidvania, Fantasy, 2D scrolling, RPG elements, Direct control"
7009,After Burner II,2013,7.52,https://www.mobygames.com/game/7009/after-burner-ii/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
93436,Air Battle Hockey 3D,2013,,https://www.mobygames.com/game/93436/air-battle-hockey-3d/,"Action, Paddle / Pong"
62058,AiRace Speed,2013,,https://www.mobygames.com/game/62058/airace-speed/,"Racing / Driving, Sci-fi / futuristic, Flight / aviation, Behind view"
98905,AiRace Xeno,2014,,https://www.mobygames.com/game/98905/airace-xeno/,"Racing / Driving, Sci-fi / futuristic, Flight / aviation, Behind view"
96499,Akari by Nikoli,2012,,https://www.mobygames.com/game/96499/akari-by-nikoli/,"Top-down, Puzzle, Point and select"
167099,AKB48+Me,2012,,https://www.mobygames.com/game/167099/akb48me/,"Simulation, Licensed, Music / rhythm, Augmented reality"
94602,Alchemic Dungeons,2017,,https://www.mobygames.com/game/94602/alchemic-dungeons/,"Action, Fantasy, Diagonal-down, 2D scrolling, Roguelike"
60228,Alien Chaos 3D,2013,,https://www.mobygames.com/game/60228/alien-chaos-3d/,"Action, Arcade, Side view, Platform, Shooter"
