ID,Title,Release Year,Moby Score,URL,Genres
142804,007: Blood Stone,2010,6.85,https://www.mobygames.com/game/142804/007-blood-stone/,"Action, Shooter, Licensed, Spy / espionage, Stealth, Behind view, Direct control"
88776,007: Quantum of Solace,2008,6.62,https://www.mobygames.com/game/88776/007-quantum-of-solace/,"Action, Shooter, Licensed, Spy / espionage, Beat 'em up / brawler, Behind view, Diagonal-down, 2D scrolling, Point and select"
185779,1 vs. 100,2008,,https://www.mobygames.com/game/185779/1-vs-100/,"Game show / trivia / quiz, Licensed, Puzzle"
84507,1 vs. 100,2008,,https://www.mobygames.com/game/84507/1-vs-100/,"Simulation, Game show / trivia / quiz, Licensed"
126170,100 All-Time Favorites,2009,,https://www.mobygames.com/game/126170/100-all-time-favorites/,"Strategy / tactics, Sports, Chess, Board game, Cards / tiles, Gambling, Bowling, Pool / snooker"
86813,100 Classic Games,2011,,https://www.mobygames.com/game/86813/100-classic-games/,Compilation
142453,1001 Touch Games,2011,,https://www.mobygames.com/game/142453/1001-touch-games/,"Strategy / tactics, Board game, Cards / tiles, Hidden object, Puzzle, Mini-games"
86818,101-in-1 Explosive Megamix,2009,5.37,https://www.mobygames.com/game/86818/101-in-1-explosive-megamix/,"Action, Fixed / flip-screen, Mini-games, Direct control"
142459,101-in-1 Sports Megamix,2010,,https://www.mobygames.com/game/142459/101-in-1-sports-megamix/,"Sports, Mini-games"
48329,12,2008,,https://www.mobygames.com/game/48329/12/,"Action, Racing / Driving, Arcade, Top-down, Compilation, Puzzle, Mini-games"
215642,12 Family Games,2008,,https://www.mobygames.com/game/215642/12-family-games/,"Action, Racing / Driving, Arcade, Top-down, Side view, Platform, Shooter, Puzzle elements, 2D scrolling, Fixed / flip-screen, Mini-games, Tile matching puzzle, Direct control"
144220,1500DS Spirits Vol. 10: Igo,2008,,https://www.mobygames.com/game/144220/1500ds-spirits-vol-10-igo/,"Strategy / tactics, Board game"
144157,1500DS Spirits Vol. 1: Mahjong,2007,,https://www.mobygames.com/game/144157/1500ds-spirits-vol-1-mahjong/,"Strategy / tactics, Cards / tiles"
144158,1500DS Spirits Vol. 2: Shogi,2007,,https://www.mobygames.com/game/144158/1500ds-spirits-vol-2-shogi/,"Strategy / tactics, Board game"
144172,1500DS Spirits Vol. 5: Hanafuda,2007,,https://www.mobygames.com/game/144172/1500ds-spirits-vol-5-hanafuda/,"Strategy / tactics, Cards / tiles"
144173,1500DS Spirits Vol. 6: Trump,2007,,https://www.mobygames.com/game/144173/1500ds-spirits-vol-6-trump/,"Strategy / tactics, Cards / tiles"
144178,1500DS Spirits Vol. 8: Darts,2007,,https://www.mobygames.com/game/144178/1500ds-spirits-vol-8-darts/,"Sports, Darts / target shooting"
144219,1500DS Spirits Vol. 9: Futari-uchi Mahjong,2007,,https://www.mobygames.com/game/144219/1500ds-spirits-vol-9-futari-uchi-mahjong/,"Strategy / tactics, Cards / tiles"
142467,18 Classic Card Games,2010,,https://www.mobygames.com/game/142467/18-classic-card-games/,"Strategy / tactics, Cards / tiles"
43860,1912: Titanic Mystery,2010,,https://www.mobygames.com/game/43860/1912-titanic-mystery/,"1st-person, Hidden object, Puzzle, Contemporary"
144338,2 Disney Games: Phineas and Ferb / Phineas and Ferb: Ride Again,2011,,https://www.mobygames.com/game/144338/2-disney-games-phineas-and-ferb-phineas-and-ferb-ride-again/,Compilation
153094,2 in 1: Mahjong / Mahjong: Eine Reise um die Welt,2012,,https://www.mobygames.com/game/153094/2-in-1-mahjong-mahjong-eine-reise-um-die-welt/,Compilation
106756,2-in-1 Party Pack: Shrek's Carnival Craze Party Games / Madagascar Kartz,2010,,https://www.mobygames.com/game/106756/2-in-1-party-pack-shreks-carnival-craze-party-games-madagascar-k/,Compilation
36224,4 Elements,2011,,https://www.mobygames.com/game/36224/4-elements/,"Side view, Fantasy, Hidden object, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle, Point and select"
62900,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005,,https://www.mobygames.com/game/62900/4-game-fun-pack-monopoly-boggle-yahtzee-battleship/,"Strategy / tactics, 1st-person, Board game, Compilation, Licensed, Puzzle, Word construction"
87110,50 Classic Games,2009,,https://www.mobygames.com/game/87110/50-classic-games/,"Chess, Cards / tiles, Gambling, Compilation, Puzzle"
142489,50 More Classic Games,2011,,https://www.mobygames.com/game/142489/50-more-classic-games/,"Strategy / tactics, Chess, Cards / tiles, Gambling, Puzzle, Mini-games"
37584,7 Wonders II,2009,6.57,https://www.mobygames.com/game/37584/7-wonders-ii/,"Side view, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle, Point and select, Asia, Egypt (Ancient), Europe, Classical antiquity, Middle East"
32004,7 Wonders of the Ancient World,2007,6.36,https://www.mobygames.com/game/32004/7-wonders-of-the-ancient-world/,"Side view, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle, Point and select, Egypt (Ancient), Classical antiquity, Middle East"
37160,7 Wonders: Treasures of Seven,2011,,https://www.mobygames.com/game/37160/7-wonders-treasures-of-seven/,"Side view, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle, Point and select, Africa, Asia, Europe, Classical antiquity, Middle East"
120101,7th Dragon,2009,,https://www.mobygames.com/game/120101/7th-dragon/,"Top-down, Role-playing (RPG), Fantasy, 2D scrolling, Japanese-style RPG (JRPG)"
142494,8BallAllstars,2009,,https://www.mobygames.com/game/142494/8ballallstars/,"Sports, 1st-person, Top-down, Pool / snooker, Turn-based, Direct control"
49690,999: Nine Hours · Nine Persons · Nine Doors,2009,8.1,https://www.mobygames.com/game/49690/999-nine-hours-nine-persons-nine-doors/,"Adventure, 1st-person, Puzzle elements, Detective / mystery, Anime / Manga, Visual novel, Thriller, Fixed / flip-screen, Point and select"
115802,A Witch's Tale,2009,,https://www.mobygames.com/game/115802/a-witchs-tale/,"Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Diagonal-down, 2D scrolling"
87125,Absolute BrickBuster,2007,,https://www.mobygames.com/game/87125/absolute-brickbuster/,"Paddle / Pong, Puzzle"
