ID,Title,Release Year,Moby Score,URL,Genres
208424,"""Sento Monogatari"" Sono I",1996,,https://www.mobygames.com/game/208424/sento-monogatari-sono-i/,"Simulation, Cards / tiles, Compilation, Party game"
219124,'98 Kōshien,1998,,https://www.mobygames.com/game/219124/98-koshien/,"Sports, Basketball, Managerial / business simulation, 3rd-person (Other), Japan (Modern/Futuristic)"
130792,'99 Kōshien,1999,,https://www.mobygames.com/game/130792/99-koshien/,"Sports, Baseball, Anime / Manga, 3rd-person (Other)"
44733,...Iru!,1998,,https://www.mobygames.com/game/44733/iru/,"Adventure, 1st-person, Survival horror"
3531,007: Racing,2000,5.76,https://www.mobygames.com/game/3531/007-racing/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
45707,007: The World is Not Enough,2000,6.81,https://www.mobygames.com/game/45707/007-the-world-is-not-enough/,"Action, 1st-person, Shooter, Licensed, Spy / espionage, Direct control"
12277,007: Tomorrow Never Dies,1999,6.7,https://www.mobygames.com/game/12277/007-tomorrow-never-dies/,"Action, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
42536,1 on 1,1998,,https://www.mobygames.com/game/42536/1-on-1/,"Sports, Basketball, Anime / Manga, 3rd-person (Other)"
33232,2 Games: 007: Tomorrow Never Dies / 007: The World is Not Enough,2002,,https://www.mobygames.com/game/33232/2-games-007-tomorrow-never-dies-007-the-world-is-not-enough/,Compilation
33228,2 Games: Bugs Bunny & Taz: Time Busters / Wacky Races,2002,,https://www.mobygames.com/game/33228/2-games-bugs-bunny-taz-time-busters-wacky-races/,Compilation
62544,2 Games: Bust-A-Move 2 / Bust-A-Move 3 DX,2004,,https://www.mobygames.com/game/62544/2-games-bust-a-move-2-bust-a-move-3-dx/,Compilation
33229,2 Games: Colin McRae Rally 2.0 / No Fear Downhill Mountain Biking,2002,,https://www.mobygames.com/game/33229/2-games-colin-mcrae-rally-20-no-fear-downhill-mountain-biking/,Compilation
48032,2 Games: Destruction Derby Raw / Porsche Challenge,2003,,https://www.mobygames.com/game/48032/2-games-destruction-derby-raw-porsche-challenge/,Compilation
62545,"2 Games: Disney's Donald Duck: ""Qu@ck Att@ck""?!* / Tigger's Honey Hunt",2002,,https://www.mobygames.com/game/62545/2-games-disneys-donald-duck-quck-attck-tiggers-honey-hunt/,Compilation
33231,2 Games: Gran Turismo / Motor Toon Grand Prix 2,2003,,https://www.mobygames.com/game/33231/2-games-gran-turismo-motor-toon-grand-prix-2/,Compilation
33251,2 Games: Hogs of War / Worms,2002,,https://www.mobygames.com/game/33251/2-games-hogs-of-war-worms/,Compilation
33233,2 Games: Jonah Lomu Rugby / Brian Lara Cricket,2002,,https://www.mobygames.com/game/33233/2-games-jonah-lomu-rugby-brian-lara-cricket/,Compilation
33392,2 Games: Medal of Honor / Medal of Honor: Underground,2002,,https://www.mobygames.com/game/33392/2-games-medal-of-honor-medal-of-honor-underground/,Compilation
36915,2 Games: MediEvil / C-12: Final Resistance,2003,,https://www.mobygames.com/game/36915/2-games-medievil-c-12-final-resistance/,Compilation
33234,2 Games: Need for Speed: Porsche 2000 / Moto Racer 2,2002,,https://www.mobygames.com/game/33234/2-games-need-for-speed-porsche-2000-moto-racer-2/,Compilation
33235,2 Games: Rayman / Rayman 2: The Great Escape,2002,,https://www.mobygames.com/game/33235/2-games-rayman-rayman-2-the-great-escape/,Compilation
48030,2 Games: Syphon Filter 2 / In Cold Blood,2003,,https://www.mobygames.com/game/48030/2-games-syphon-filter-2-in-cold-blood/,Compilation
48031,2 Games: Tekken / Ridge Racer,2003,,https://www.mobygames.com/game/48031/2-games-tekken-ridge-racer/,Compilation
33236,2 Games: Tekken 2 / Soul Blade,2003,,https://www.mobygames.com/game/33236/2-games-tekken-2-soul-blade/,Compilation
33237,2 Games: TOCA World Touring Cars / Colin McRae Rally,2002,,https://www.mobygames.com/game/33237/2-games-toca-world-touring-cars-colin-mcrae-rally/,"Simulation, Compilation, Vehicle simulator, Automobile"
62547,2 Games: TOCA World Touring Cars / Jonah Lomu Rugby,2002,,https://www.mobygames.com/game/62547/2-games-toca-world-touring-cars-jonah-lomu-rugby/,Compilation
33238,2 Games: Tom Clancy's Rainbow Six / Tom Clancy's Rainbow Six: Rogue Spear,2002,,https://www.mobygames.com/game/33238/2-games-tom-clancys-rainbow-six-tom-clancys-rainbow-six-rogue-sp/,Compilation
62548,2 Games: Tomb Raider III / Tomb Raider: The Last Revelation,2002,,https://www.mobygames.com/game/62548/2-games-tomb-raider-iii-tomb-raider-the-last-revelation/,Compilation
62549,2 Games: Tomb Raider: The Last Revelation / Tomb Raider Chronicles,2002,,https://www.mobygames.com/game/62549/2-games-tomb-raider-the-last-revelation-tomb-raider-chronicles/,Compilation
33248,2 Games: Tweenies: Game Time / Bob the Builder: Can We Fix It?,2003,,https://www.mobygames.com/game/33248/2-games-tweenies-game-time-bob-the-builder-can-we-fix-it/,Compilation
33249,2 Games: V-Rally: 97 Championship Edition / Eagle One: Harrier Attack,2002,,https://www.mobygames.com/game/33249/2-games-v-rally-97-championship-edition-eagle-one-harrier-attack/,Compilation
62550,2 Games: Who Wants To Be a Millionaire / Who Wants To Be a Millionaire: 2nd Edition,2002,,https://www.mobygames.com/game/62550/2-games-who-wants-to-be-a-millionaire-who-wants-to-be-a-milliona/,"Compilation, Licensed"
33250,2 Games: WipEout 3 Special Edition / Destruction Derby 2,2003,,https://www.mobygames.com/game/33250/2-games-wipeout-3-special-edition-destruction-derby-2/,Compilation
6498,2002 FIFA World Cup,2002,6.42,https://www.mobygames.com/game/6498/2002-fifa-world-cup/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down, Direct control, Multiple units/characters control, Asia, Japan (Modern/Futuristic)"
38160,2Xtreme,1996,5.99,https://www.mobygames.com/game/38160/2xtreme/,"Sports, Racing / Driving, Skateboarding, Licensed, Snowboarding / skiing, Tricks / stunts, Bike / bicycling, Behind view"
49438,3 for 1 Value Pack: Volume #1,2002,,https://www.mobygames.com/game/49438/3-for-1-value-pack-volume-1/,Compilation
49440,3 for 1 Value Pack: Volume #2,2002,,https://www.mobygames.com/game/49440/3-for-1-value-pack-volume-2/,Compilation
49451,3 for 1 Value Pack: Volume #3,2002,,https://www.mobygames.com/game/49451/3-for-1-value-pack-volume-3/,Compilation
46337,3 for 1 Value Pack: Volume #4,2002,,https://www.mobygames.com/game/46337/3-for-1-value-pack-volume-4/,Compilation
49465,3 for 1 Value Pack: Volume #5,2002,,https://www.mobygames.com/game/49465/3-for-1-value-pack-volume-5/,Compilation
12878,3 for 1 Value Pack: Volume #6,2002,,https://www.mobygames.com/game/12878/3-for-1-value-pack-volume-6/,Compilation
138373,360: Three Sixty,1999,5.37,https://www.mobygames.com/game/138373/360-three-sixty/,"Action, Racing / Driving, Sci-fi / futuristic, Arcade, Shooter, Behind view, Vehicular combat, Direct control, Hovercraft"
38220,3D Baseball,1996,,https://www.mobygames.com/game/38220/3d-baseball/,"Sports, Baseball, Licensed, Behind view"
40140,3D Shooting Tkool,1996,,https://www.mobygames.com/game/40140/3d-shooting-tkool/,"Action, Flight / aviation, Shooter, 3rd-person (Other)"
13858,3x3 Eyes: Kyūsei Kōshu,1995,,https://www.mobygames.com/game/13858/3x3-eyes-kyusei-koshu/,"Adventure, 1st-person, Anime / Manga, Licensed"
14175,3x3 Eyes: Tenrin Ō Genmu,1998,,https://www.mobygames.com/game/14175/3x3-eyes-tenrin-o-genmu/,"Adventure, 1st-person, Anime / Manga, Licensed"
47259,3Xtreme,1999,5.63,https://www.mobygames.com/game/47259/3xtreme/,"Sports, Racing / Driving, Skateboarding, Licensed, Tricks / stunts, Bike / bicycling, Behind view"
149794,4-4-2 Soccer,1997,,https://www.mobygames.com/game/149794/4-4-2-soccer/,"Sports, Side view, Football (European) / Soccer, Diagonal-down, 2D scrolling, Direct control"
10240,40 Winks,1999,6.74,https://www.mobygames.com/game/10240/40-winks/,"Action, Platform, Fantasy, Behind view"
75327,5 Star Racing,2003,,https://www.mobygames.com/game/75327/5-star-racing/,"Racing / Driving, Behind view, Automobile, Track racing"
107792,70's Robot Anime: Geppy-X,1999,,https://www.mobygames.com/game/107792/70s-robot-anime-geppy-x/,"Action, Sci-fi / futuristic, Side view, Flight / aviation, Shooter, Anime / Manga, Mecha / giant robot, Comedy, 2D scrolling, Direct control"
3652,A Collection of Activision Classic Games for the Atari 2600,1998,5.77,https://www.mobygames.com/game/3652/a-collection-of-activision-classic-games-for-the-atari-2600/,Compilation
24798,A Collection of Classic Games from the Intellivision,1999,6.12,https://www.mobygames.com/game/24798/a-collection-of-classic-games-from-the-intellivision/,Compilation
58011,A IV Evolution: A Ressha de Ikou 4,1994,,https://www.mobygames.com/game/58011/a-iv-evolution-a-ressha-de-ikou-4/,"Simulation, Isometric, Managerial / business simulation, Train"
148766,A Mars Moose Adventure: Cosmic Quest 1 - City Sights,1998,,https://www.mobygames.com/game/148766/a-mars-moose-adventure-cosmic-quest-1-city-sights/,"Educational, Reading / writing"
149926,A Mars Moose Adventure: Cosmic Quest 2 - Fairy Tale Island,1997,,https://www.mobygames.com/game/149926/a-mars-moose-adventure-cosmic-quest-2-fairy-tale-island/,"Educational, Reading / writing, Fantasy, 3rd-person (Other), Fixed / flip-screen"
150711,A Mars Moose Adventure: Cosmic Quest 3 - Race Through France,1997,,https://www.mobygames.com/game/150711/a-mars-moose-adventure-cosmic-quest-3-race-through-france/,"Educational, Reading / writing, Bike / bicycling, 3rd-person (Other), Fixed / flip-screen, Europe"
208212,A Mars Moose Adventure: Stay & Play 1 - In the Clubhouse,1998,,https://www.mobygames.com/game/208212/a-mars-moose-adventure-stay-play-1-in-the-clubhouse/,"1st-person, Educational, Reading / writing, Science, Fixed / flip-screen, Mini-games, Point and select, Contemporary"
202772,A Mars Moose Adventure: Stay & Play 2 - In Mars' Bedroom,1997,,https://www.mobygames.com/game/202772/a-mars-moose-adventure-stay-play-2-in-mars-bedroom/,"1st-person, Educational, Reading / writing, Fixed / flip-screen, Mini-games, Point and select, Contemporary"
202228,A Mars Moose Adventure: Stay & Play 3 - In Lonnie's Classroom,1997,,https://www.mobygames.com/game/202228/a-mars-moose-adventure-stay-play-3-in-lonnies-classroom/,"Educational, Reading / writing, Geography, Science, Fixed / flip-screen, Mini-games, Point and select, Contemporary"
150772,A Mars Moose Adventure: WalkAbout 1 - The Natural History Museum,1999,,https://www.mobygames.com/game/150772/a-mars-moose-adventure-walkabout-1-the-natural-history-museum/,"Educational, Reading / writing, Ecology / nature, 3rd-person (Other), Fixed / flip-screen"
150773,A Mars Moose Adventure: WalkAbout 2 - The Shakespeare Festival,1997,,https://www.mobygames.com/game/150773/a-mars-moose-adventure-walkabout-2-the-shakespeare-festival/,"Educational, Reading / writing, Music, 3rd-person (Other), Fixed / flip-screen"
151575,A Mars Moose Adventure: WalkAbout 3 - World Sports Day,1997,,https://www.mobygames.com/game/151575/a-mars-moose-adventure-walkabout-3-world-sports-day/,"Educational, Reading / writing, Geography, 3rd-person (Other), Fixed / flip-screen"
201582,A Ressha de Ikō Z: Mezase! Tairiku Ōdan,1999,,https://www.mobygames.com/game/201582/a-ressha-de-iko-z-mezase-tairiku-odan/,"Simulation, Top-down, Real-time, Managerial / business simulation, 3rd-person (Other), 2D scrolling, Fixed / flip-screen"
30304,A-Train,1995,7.32,https://www.mobygames.com/game/30304/a-train/,"Simulation, Isometric, Managerial / business simulation, Train, Diagonal-down"
58012,A.IV. Evolution (Hatsubai Kinen Gentei Set),1994,,https://www.mobygames.com/game/58012/aiv-evolution-hatsubai-kinen-gentei-set/,"Simulation, Isometric, Managerial / business simulation, Train"
35959,A2 Racer III: Europa Tour,2000,,https://www.mobygames.com/game/35959/a2-racer-iii-europa-tour/,"Racing / Driving, 1st-person, Arcade, Behind view, Vehicle simulator, Automobile, Street racing"
201581,A5: A Ressha de Ikō 5,1997,,https://www.mobygames.com/game/201581/a5-a-ressha-de-iko-5/,"Simulation, Top-down, Managerial / business simulation, 3rd-person (Other), 2D scrolling, Free camera"
37891,Abalaburn,1998,,https://www.mobygames.com/game/37891/abalaburn/,"Action, Side view, Fighting, Anime / Manga, Fantasy, Beat 'em up / brawler, Behind view, Direct control"
6574,Ace Combat 2,1997,7.84,https://www.mobygames.com/game/6574/ace-combat-2/,"Action, 1st-person, Flight / aviation, Shooter, Behind view, Vehicular combat"
4880,Ace Combat 3: Electrosphere,1999,7.36,https://www.mobygames.com/game/4880/ace-combat-3-electrosphere/,"Action, 1st-person, Flight / aviation, Shooter, Behind view, Vehicle simulator, Regional differences"
49482,Aces of the Air,2002,,https://www.mobygames.com/game/49482/aces-of-the-air/,"Action, Simulation, Flight / aviation, Behind view, Vehicular combat"
122583,Acid,1999,,https://www.mobygames.com/game/122583/acid/,"Action, 1st-person, Sci-fi / futuristic, Shooter, Puzzle"
134932,Aconcagua,2000,,https://www.mobygames.com/game/134932/aconcagua/,"Adventure, Real-time, Puzzle elements, Detective / mystery, Puzzle, War, 3rd-person (Other), Cinematic camera, Survival, Japanese-style adventure, Point and select, Multiple units/characters control, South America"
47274,Action Bass,1999,6.14,https://www.mobygames.com/game/47274/action-bass/,"Action, Sports, Arcade, Fishing"
140001,Action Man: Destruction X,2000,6.23,https://www.mobygames.com/game/140001/action-man-destruction-x/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Diagonal-down"
22045,Action Man: Operation Extreme,1999,5.81,https://www.mobygames.com/game/22045/action-man-operation-extreme/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Diagonal-down"
35993,Actua Golf 3,1998,7.17,https://www.mobygames.com/game/35993/actua-golf-3/,"Sports, Golf, Behind view"
1194,Actua Ice Hockey,1998,6.54,https://www.mobygames.com/game/1194/actua-ice-hockey/,"Sports, Hockey, Diagonal-down, 2D scrolling, Direct control"
20435,Actua Ice Hockey 2,1999,6.14,https://www.mobygames.com/game/20435/actua-ice-hockey-2/,"Sports, Hockey, Diagonal-down, 2D scrolling, Direct control"
1191,Actua Soccer 2,1997,7.21,https://www.mobygames.com/game/1191/actua-soccer-2/,"Sports, Football (European) / Soccer, Diagonal-down, 2D scrolling, Direct control"
1192,Actua Soccer 3,1998,6.97,https://www.mobygames.com/game/1192/actua-soccer-3/,"Sports, Football (European) / Soccer, Diagonal-down, Direct control"
20600,Actua Soccer: Club Edition,1997,6.43,https://www.mobygames.com/game/20600/actua-soccer-club-edition/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down"
1193,Actua Tennis,2000,5.73,https://www.mobygames.com/game/1193/actua-tennis/,"Sports, Tennis, Licensed, Diagonal-down"
