ID,Title,Release Year,Moby Score,URL,Genres
130792,'99 Kōshien,2018,,https://www.mobygames.com/game/130792/99-koshien/,"Sports, Baseball, Anime / Manga, 3rd-person (Other)"
19879,007: From Russia with Love,2006,6.47,https://www.mobygames.com/game/19879/007-from-russia-with-love/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
42536,1 on 1,2009,,https://www.mobygames.com/game/42536/1-on-1/,"Sports, Basketball, Anime / Manga, 3rd-person (Other)"
78012,1/2 Summer+,2013,,https://www.mobygames.com/game/78012/12-summer/,"Adventure, 1st-person, Anime / Manga, Visual novel, Romance"
85212,10-in-One,2016,,https://www.mobygames.com/game/85212/10-in-one/,Compilation
81317,1000 Tiny Claws,2011,7.55,https://www.mobygames.com/game/81317/1000-tiny-claws/,"Action, Comedy, Diagonal-down"
83485,101-in-1 Megamix,2010,,https://www.mobygames.com/game/83485/101-in-1-megamix/,"Action, Arcade, Side view, Fantasy, 2D scrolling, Fixed / flip-screen, Mini-games, Direct control"
82477,12Riven: The ΨCliminal of Integral,2009,,https://www.mobygames.com/game/82477/12riven-the-ψcliminal-of-integral/,"Adventure, 1st-person, Sci-fi / futuristic, Anime / Manga, Visual novel, Fixed / flip-screen"
113065,2 Games in 1! Archer Maclean's Mercury / Mercury Meltdown,2010,,https://www.mobygames.com/game/113065/2-games-in-1-archer-macleans-mercury-mercury-meltdown/,Compilation
208006,2010 FIFA World Cup South Africa,2010,,https://www.mobygames.com/game/208006/2010-fifa-world-cup-south-africa/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down, Direct control, Africa"
84092,20Q,2011,,https://www.mobygames.com/game/84092/20q/,"Strategy / tactics, Board game, Game show / trivia / quiz, Turn-based, Fixed / flip-screen, Point and select"
95639,The 2D Adventures of Rotating Octopus Character,2011,,https://www.mobygames.com/game/95639/the-2d-adventures-of-rotating-octopus-character/,"Action, Fantasy, Diagonal-down, 2D scrolling, Direct control"
38160,2Xtreme,2007,,https://www.mobygames.com/game/38160/2xtreme/,"Sports, Racing / Driving, Skateboarding, Licensed, Snowboarding / skiing, Tricks / stunts, Bike / bicycling, Behind view"
81441,"3,2,1...SuperCrash!",2010,,https://www.mobygames.com/game/81441/321supercrash/,"Action, Arcade, Behind view"
84903,"3,2,1...SuperCrash! + Dr. MiniGames",2011,,https://www.mobygames.com/game/84903/321supercrash-dr-minigames/,Compilation
26853,300: March to Glory,2007,5.87,https://www.mobygames.com/game/26853/300-march-to-glory/,"Action, Hack and slash, Fantasy, Licensed, 3rd-person (Other)"
81397,3D Twist & Match,2011,,https://www.mobygames.com/game/81397/3d-twist-match/,"Puzzle, Direct control"
54715,The 3rd Birthday (Twisted Edition),2011,,https://www.mobygames.com/game/54715/the-3rd-birthday-twisted-edition/,"Extra content / game, Physical extras, Special edition"
59158,The 3rd Birthday,2010,6.94,https://www.mobygames.com/game/59158/the-3rd-birthday/,"Action, Sci-fi / futuristic, Shooter, Role-playing (RPG), Behind view"
10240,40 Winks,2010,,https://www.mobygames.com/game/10240/40-winks/,"Action, Platform, Fantasy, Behind view"
53717,428: Shibuya Scramble,2009,,https://www.mobygames.com/game/53717/428-shibuya-scramble/,"Adventure, Detective / mystery, Visual novel, 3rd-person (Other), Text-based / Spreadsheet"
76620,4x4 Jam,2010,,https://www.mobygames.com/game/76620/4x4-jam/,"Sports, Racing / Driving, 1st-person, Off-roading, Behind view, Direct control"
81638,5 in 1 Solitaire,2011,,https://www.mobygames.com/game/81638/5-in-1-solitaire/,"Top-down, Cards / tiles, Puzzle, Fixed / flip-screen, Point and select"
