ID,Title,Release Year,Moby Score,URL,Genres
78809,#KILLALLZOMBIES,2016,,https://www.mobygames.com/game/78809/killallzombies/,"Action, Top-down, Shooter, Post-apocalyptic"
224622,&: Sora no Mukō de Saki Masuyō ni,2013,,https://www.mobygames.com/game/224622/sora-no-muko-de-saki-masuyo-ni/,"Adventure, Anime / Manga, Visual novel, Romance, Text-based / Spreadsheet, Fixed / flip-screen, Direct control, Japan (Modern/Futuristic)"
130792,'99 Kōshien,2018,,https://www.mobygames.com/game/130792/99-koshien/,"Sports, Baseball, Anime / Manga, 3rd-person (Other)"
141674,0000,2020,,https://www.mobygames.com/game/141674/0000/,"Action, Arcade, Side view, Platform, Fixed / flip-screen"
79860,10 Second Ninja X,2016,,https://www.mobygames.com/game/79860/10-second-ninja-x/,"Action, Arcade, Side view, Platform, 2D scrolling"
85212,10-in-One,2016,,https://www.mobygames.com/game/85212/10-in-one/,Compilation
81317,1000 Tiny Claws,2012,,https://www.mobygames.com/game/81317/1000-tiny-claws/,"Action, Comedy, Diagonal-down"
83485,101-in-1 Megamix,2012,,https://www.mobygames.com/game/83485/101-in-1-megamix/,"Action, Arcade, Side view, Fantasy, 2D scrolling, Fixed / flip-screen, Mini-games, Direct control"
82829,2013: Infected Wars,2015,6.39,https://www.mobygames.com/game/82829/2013-infected-wars/,"Action, Shooter, Post-apocalyptic, Horror, Behind view"
82321,2064: Read Only Memories,2017,,https://www.mobygames.com/game/82321/2064-read-only-memories/,"Adventure, Cyberpunk / dark sci-fi, Japanese-style adventure, Point and select"
140559,2064: Read Only Memories (Collector's Edition),2018,,https://www.mobygames.com/game/140559/2064-read-only-memories-collectors-edition/,"Physical extras, Special edition"
84092,20Q,2012,,https://www.mobygames.com/game/84092/20q/,"Strategy / tactics, Board game, Game show / trivia / quiz, Turn-based, Fixed / flip-screen, Point and select"
38160,2Xtreme,2012,,https://www.mobygames.com/game/38160/2xtreme/,"Sports, Racing / Driving, Skateboarding, Licensed, Snowboarding / skiing, Tricks / stunts, Bike / bicycling, Behind view"
81441,"3,2,1...SuperCrash!",2012,,https://www.mobygames.com/game/81441/321supercrash/,"Action, Arcade, Behind view"
84903,"3,2,1...SuperCrash! + Dr. MiniGames",2012,,https://www.mobygames.com/game/84903/321supercrash-dr-minigames/,Compilation
82097,3-in-1 Mega Bundle,2014,,https://www.mobygames.com/game/82097/3-in-1-mega-bundle/,Compilation
26853,300: March to Glory,2012,,https://www.mobygames.com/game/26853/300-march-to-glory/,"Action, Hack and slash, Fantasy, Licensed, 3rd-person (Other)"
96621,36 Fragments of Midnight,2017,,https://www.mobygames.com/game/96621/36-fragments-of-midnight/,"Action, Side view, Platform, 2D scrolling"
81397,3D Twist & Match,2012,,https://www.mobygames.com/game/81397/3d-twist-match/,"Puzzle, Direct control"
59158,The 3rd Birthday,2012,,https://www.mobygames.com/game/59158/the-3rd-birthday/,"Action, Sci-fi / futuristic, Shooter, Role-playing (RPG), Behind view"
10240,40 Winks,2012,,https://www.mobygames.com/game/10240/40-winks/,"Action, Platform, Fantasy, Behind view"
76620,4x4 Jam,2012,,https://www.mobygames.com/game/76620/4x4-jam/,"Sports, Racing / Driving, 1st-person, Off-roading, Behind view, Direct control"
71763,5-in-1 Arcade Hits,2012,,https://www.mobygames.com/game/71763/5-in-1-arcade-hits/,"Action, Sports, Arcade, Top-down, Real-time, Side view, Board game, Cards / tiles, Paddle / Pong, Compilation, Pool / snooker, Mental training, Puzzle, Tile matching puzzle"
109338,7'scarlet,2016,7.4,https://www.mobygames.com/game/109338/7scarlet/,"Adventure, 1st-person, Anime / Manga, Visual novel, 2D scrolling"
109350,7'scarlet (Genteiban),2016,,https://www.mobygames.com/game/109350/7scarlet-genteiban/,"Physical extras, Special edition"
87490,99Vidas,2017,,https://www.mobygames.com/game/87490/99vidas/,"Action, Side view, Beat 'em up / brawler, 2D scrolling, Direct control, Contemporary"
121091,99Vidas (Collector's Edition),2018,,https://www.mobygames.com/game/121091/99vidas-collectors-edition/,"Physical extras, Special edition"
44061,A Boy and His Blob,2016,,https://www.mobygames.com/game/44061/a-boy-and-his-blob/,"Action, Side view, Platform, Puzzle elements, 2D scrolling"
124012,A Certain Magical Virtual-On,2018,,https://www.mobygames.com/game/124012/a-certain-magical-virtual-on/,"Action, Fighting, Anime / Manga, Mecha / giant robot, Licensed, 3rd-person (Other), Direct control"
124026,A Certain Magical Virtual-On: Black Ticket,2018,,https://www.mobygames.com/game/124026/a-certain-magical-virtual-on-black-ticket/,"Add-on, Licensed, Other"
124024,A Certain Magical Virtual-On: DNA Style,2018,,https://www.mobygames.com/game/124024/a-certain-magical-virtual-on-dna-style/,"Add-on, Licensed, Customization / outfit / skin"
124027,A Certain Magical Virtual-On: RNA Style,2018,,https://www.mobygames.com/game/124027/a-certain-magical-virtual-on-rna-style/,"Add-on, Licensed, Customization / outfit / skin"
124028,A Certain Magical Virtual-On: Supplement DennoubakuhatsuKyuugi White Fleet Cup,2018,,https://www.mobygames.com/game/124028/a-certain-magical-virtual-on-supplement-dennoubakuhatsukyuugi-wh/,"Add-on, Licensed, Story / mission"
124023,A Certain Magical Virtual-On: Supplement Dennousenki Pro Wrestling Gigantes of the Ring,2018,,https://www.mobygames.com/game/124023/a-certain-magical-virtual-on-supplement-dennousenki-pro-wrestlin/,"Add-on, Licensed, Story / mission"
124020,A Certain Magical Virtual-On: Supplement Gakuentoshi Chikakakutougi SekuShii Korosiamu,2018,,https://www.mobygames.com/game/124020/a-certain-magical-virtual-on-supplement-gakuentoshi-chikakakutou/,"Add-on, Licensed, Story / mission"
124021,A Certain Magical Virtual-On: Supplement OneesamaTabehoudai ShuchinikurinKurokoKyoukiRanbu,2018,,https://www.mobygames.com/game/124021/a-certain-magical-virtual-on-supplement-oneesamatabehoudai-shuch/,"Add-on, Licensed, Story / mission"
124022,A Certain Magical Virtual-On: Supplement Virtual-On ha jigokudaze Sisters Boot Camp,2018,,https://www.mobygames.com/game/124022/a-certain-magical-virtual-on-supplement-virtual-on-ha-jigokudaze/,"Add-on, Licensed, Story / mission"
88965,A Hole New World,2019,,https://www.mobygames.com/game/88965/a-hole-new-world/,"Action, Side view, Platform, Fantasy, Fixed / flip-screen"
86748,A Rose in the Twilight,2016,7.27,https://www.mobygames.com/game/86748/a-rose-in-the-twilight/,"Action, Side view, Platform, Puzzle elements, 2D scrolling"
87493,A Rose in the Twilight (Limited Edition),2017,,https://www.mobygames.com/game/87493/a-rose-in-the-twilight-limited-edition/,"Digital extras, Physical extras, Special edition"
74218,A Space Shooter for 2 Bucks!,2012,,https://www.mobygames.com/game/74218/a-space-shooter-for-2-bucks/,"Action, Sci-fi / futuristic, Top-down, Shooter"
60244,A Virus Named Tom,2016,,https://www.mobygames.com/game/60244/a-virus-named-tom/,"Strategy / tactics, Top-down, Puzzle"
118503,A Winter's Daydream,2019,,https://www.mobygames.com/game/118503/a-winters-daydream/,"Adventure, 1st-person, Anime / Manga, Visual novel, Romance"
82833,A-Men,2012,,https://www.mobygames.com/game/82833/a-men/,"Action, Side view, Platform, Puzzle elements, 2D scrolling, Multiple units/characters control"
82834,A-Men 2,2013,6.57,https://www.mobygames.com/game/82834/a-men-2/,"Action, Side view, Platform, Puzzle elements, Multiple units/characters control"
30304,A-Train,2012,,https://www.mobygames.com/game/30304/a-train/,"Simulation, Isometric, Managerial / business simulation, Train, Diagonal-down"
118833,A.O.T.: Wings of Freedom - Costume All Set,2016,,https://www.mobygames.com/game/118833/aot-wings-of-freedom-costume-all-set/,"Add-on, Customization / outfit / skin"
118843,A.O.T.: Wings of Freedom - Episode All Set,2016,,https://www.mobygames.com/game/118843/aot-wings-of-freedom-episode-all-set/,Compilation
118836,A.O.T.: Wings of Freedom - Weapon All Set,2016,,https://www.mobygames.com/game/118836/aot-wings-of-freedom-weapon-all-set/,Compilation
82852,A.W.: Phoenix Festa,2016,5.95,https://www.mobygames.com/game/82852/aw-phoenix-festa/,"Action, Sci-fi / futuristic, Real-time, Role-playing (RPG), Anime / Manga, Post-apocalyptic, Visual novel, Romance, 3rd-person (Other), Dating simulation, Action RPG, Direct control"
100965,Aabs Animals,2013,,https://www.mobygames.com/game/100965/aabs-animals/,"Simulation, Meditative / Zen"
67165,Aban Hawkins & the 1001 Spikes: The Temple of the Dead Mourns the Living,2014,7.36,https://www.mobygames.com/game/67165/aban-hawkins-the-1001-spikes-the-temple-of-the-dead-mourns-the-l/,"Action, Arcade, Side view, Platform"
95896,Accel World VS Sword Art Online,2017,6.79,https://www.mobygames.com/game/95896/accel-world-vs-sword-art-online/,"Role-playing (RPG), Anime / Manga, Licensed, 3rd-person (Other), Japanese-style RPG (JRPG)"
