ID,Title,Release Year,Moby Score,URL,Genres
68848,21: Two One,2001,,https://www.mobygames.com/game/68848/21-two-one/,"Adventure, 1st-person, Detective / mystery, Anime / Manga, Visual novel, Healthcare"
80169,21: Two One (Shokai Genteiban),2001,,https://www.mobygames.com/game/80169/21-two-one-shokai-genteiban/,"Physical extras, Special edition"
180679,2D House of Terror,2012,,https://www.mobygames.com/game/180679/2d-house-of-terror/,"Action, Side view, Horror, Mini-games, Party game, Direct control"
4524,4 Wheel Thunder,2000,7.5,https://www.mobygames.com/game/4524/4-wheel-thunder/,"Racing / Driving, 1st-person, Arcade, Off-roading, Behind view, Automobile"
4715,4x4 Evo,2000,6.91,https://www.mobygames.com/game/4715/4x4-evo/,"Simulation, Racing / Driving, 1st-person, Off-roading, Behind view, Direct control, Automobile"
76620,4x4 Jam,2017,,https://www.mobygames.com/game/76620/4x4-jam/,"Sports, Racing / Driving, 1st-person, Off-roading, Behind view, Direct control"
49979,90 Minutes: Sega Championship Football,2001,5.95,https://www.mobygames.com/game/49979/90-minutes-sega-championship-football/,"Sports, Football (European) / Soccer"
45285,Abu Simbel Profanation Deluxe,2008,,https://www.mobygames.com/game/45285/abu-simbel-profanation-deluxe/,"Action, Side view, Platform, Fantasy, Fangame"
10505,AeroWings,1999,6.88,https://www.mobygames.com/game/10505/aerowings/,"Simulation, 1st-person, Flight / aviation, Tricks / stunts, Behind view, Vehicle simulator"
11624,AeroWings 2: Air Strike,2000,7.09,https://www.mobygames.com/game/11624/aerowings-2-air-strike/,"Simulation, 1st-person, Flight / aviation, 3rd-person (Other), Vehicular combat"
63197,After...: Wasureenu Kizuna,2004,,https://www.mobygames.com/game/63197/after-wasureenu-kizuna/,"Adventure, 1st-person, Anime / Manga, Visual novel"
63199,After...: Wasureenu Kizuna (Shokai Genteiban),2004,,https://www.mobygames.com/game/63199/after-wasureenu-kizuna-shokai-genteiban/,"Physical extras, Special edition"
14179,Air,2001,,https://www.mobygames.com/game/14179/air/,"Adventure, 1st-person, Anime / Manga, Adult, Visual novel, Romance, Japan (Ancient/Classical/Medieval), Japan (Modern/Futuristic)"
11628,AirForce Delta,1999,6.87,https://www.mobygames.com/game/11628/airforce-delta/,"Action, Simulation, 1st-person, Flight / aviation, Behind view, Vehicular combat"
117412,Alice Dreams Tournament (Collector Edition),2017,,https://www.mobygames.com/game/117412/alice-dreams-tournament-collector-edition/,"Digital extras, Extra content / game, Special edition"
71387,Alice's Mom's Rescue,2015,,https://www.mobygames.com/game/71387/alices-moms-rescue/,"Action, Side view, Platform, Puzzle elements, Direct control"
9941,Alien Front Online,2001,7.16,https://www.mobygames.com/game/9941/alien-front-online/,"Action, Sci-fi / futuristic, Tank, Behind view"
4183,Alone in the Dark: The New Nightmare,2001,7.29,https://www.mobygames.com/game/4183/alone-in-the-dark-the-new-nightmare/,"Action, Puzzle elements, Detective / mystery, Horror, Survival horror, 3rd-person (Other), Cinematic camera"
