ID,Title,Release Year,Moby Score,URL,Genres
44491,16t,1991,,https://www.mobygames.com/game/44491/16t/,"Action, Arcade, Side view, Platform"
8935,3 Ninjas Kick Back,1994,5.48,https://www.mobygames.com/game/8935/3-ninjas-kick-back/,"Action, Side view, Platform, Licensed, 2D scrolling"
6623,6-PAK,1995,7.62,https://www.mobygames.com/game/6623/6-pak/,Compilation
2099,688 Attack Sub,1991,6.56,https://www.mobygames.com/game/2099/688-attack-sub/,"Simulation, 1st-person, Naval / watercraft"
13513,A Dinosaur's Tale,1994,,https://www.mobygames.com/game/13513/a-dinosaurs-tale/,"Action, Side view, Platform, Licensed, Behind view, 2D scrolling"
44417,A Ressha de Ikō MD,1992,,https://www.mobygames.com/game/44417/a-ressha-de-iko-md/,"Simulation, Strategy / tactics, Top-down, Real-time, Managerial / business simulation, Train"
45270,Aa Harimanada,1993,,https://www.mobygames.com/game/45270/aa-harimanada/,"Action, Sports, Arcade, Side view, Fighting, Wrestling, Anime / Manga, Licensed"
2906,Abrams Battle Tank,1991,6.66,https://www.mobygames.com/game/2906/abrams-battle-tank/,"Simulation, 1st-person, Tank, War, Vehicular combat, Direct control"
30966,Action 52,1993,3.9,https://www.mobygames.com/game/30966/action-52/,"Action, Arcade, Top-down, Side view, Platform, Compilation"
8934,Addams Family Values,1995,6.71,https://www.mobygames.com/game/8934/addams-family-values/,"Action, Top-down, Licensed, RPG elements"
4276,The Addams Family,1993,6.66,https://www.mobygames.com/game/4276/the-addams-family/,"Action, Side view, Platform, Licensed, 2D scrolling"
44860,Advanced Daisenryaku: Doitsu Dengeki Sakusen,1991,,https://www.mobygames.com/game/44860/advanced-daisenryaku-doitsu-dengeki-sakusen/,"Strategy / tactics, Top-down, Historical events, Turn-based, World War II"
8191,The Adventures of Batman & Robin,1995,7.16,https://www.mobygames.com/game/8191/the-adventures-of-batman-robin/,"Action, Top-down, Side view, Platform, Shooter, Cyberpunk / dark sci-fi, Licensed, Beat 'em up / brawler, Crime, 2D scrolling"
16812,The Adventures of Mighty Max,1994,,https://www.mobygames.com/game/16812/the-adventures-of-mighty-max/,"Action, Sci-fi / futuristic, Side view, Platform, Licensed, 2D scrolling"
6558,The Adventures of Rocky and Bullwinkle and Friends,1993,5.61,https://www.mobygames.com/game/6558/the-adventures-of-rocky-and-bullwinkle-and-friends/,"Action, Side view, Platform, Licensed, 2D scrolling"
25815,Adventures of Yogi Bear,1994,5.73,https://www.mobygames.com/game/25815/adventures-of-yogi-bear/,"Action, Side view, Platform, Licensed, 2D scrolling"
6990,Aero the Acro-Bat,1993,7.23,https://www.mobygames.com/game/6990/aero-the-acro-bat/,"Action, Side view, Platform, Fantasy, 2D scrolling, Direct control"
6992,Aero the Acro-Bat 2,1995,7.29,https://www.mobygames.com/game/6992/aero-the-acro-bat-2/,"Action, Arcade, Side view, Platform, 2D scrolling"
7139,Aerobiz,1992,6.95,https://www.mobygames.com/game/7139/aerobiz/,"Strategy / tactics, Top-down, Flight / aviation, Managerial / business simulation"
7568,Aerobiz Supersonic,1994,6.75,https://www.mobygames.com/game/7568/aerobiz-supersonic/,"Simulation, Strategy / tactics, Managerial / business simulation"
7009,After Burner II,1990,7.31,https://www.mobygames.com/game/7009/after-burner-ii/,"Action, Arcade, Flight / aviation, Shooter, Behind view"
31847,Air Buster,1991,6.95,https://www.mobygames.com/game/31847/air-buster/,"Action, Sci-fi / futuristic, Side view, Shooter, 2D scrolling"
31838,Air Diver,1990,5.27,https://www.mobygames.com/game/31838/air-diver/,"Action, 1st-person, Flight / aviation, Shooter"
6743,Alex Kidd in the Enchanted Castle,1989,6.1,https://www.mobygames.com/game/6743/alex-kidd-in-the-enchanted-castle/,"Action, Side view, Platform, 2D scrolling, Regional differences"
14130,Alien Soldier,1995,8.42,https://www.mobygames.com/game/14130/alien-soldier/,"Action, Sci-fi / futuristic, Arcade, Side view, Shooter, 2D scrolling"
10783,Alien Storm,1991,6.84,https://www.mobygames.com/game/10783/alien-storm/,"Action, 1st-person, Sci-fi / futuristic, Arcade, Side view, Shooter, Beat 'em up / brawler, 2D scrolling"
7278,Alien³,1992,7.36,https://www.mobygames.com/game/7278/alien3/,"Action, Sci-fi / futuristic, Side view, Platform, Puzzle elements, Licensed, Horror, 2D scrolling, Direct control"
12280,Alisia Dragoon,1992,7.91,https://www.mobygames.com/game/12280/alisia-dragoon/,"Action, Side view, Platform, Fantasy, 2D scrolling"
435,Allan Border's Cricket,1995,,https://www.mobygames.com/game/435/allan-borders-cricket/,"Sports, Cricket, Licensed, Diagonal-down"
2019,Altered Beast,1988,6.37,https://www.mobygames.com/game/2019/altered-beast/,"Action, Side view, Platform, Beat 'em up / brawler, 2D scrolling"
9691,American Gladiators,1993,4.68,https://www.mobygames.com/game/9691/american-gladiators/,"Action, Simulation, Top-down, Side view, Platform, Game show / trivia / quiz, Fighting, Licensed"
24310,Andre Agassi Tennis,1992,5.26,https://www.mobygames.com/game/24310/andre-agassi-tennis/,"Sports, Tennis, Licensed, Diagonal-down"
145026,Angry Birds in Russia,2013,,https://www.mobygames.com/game/145026/angry-birds-in-russia/,"Side view, Fantasy, Puzzle, 2D scrolling, Artillery, Direct control, Fangame"
5676,Animaniacs,1994,7.47,https://www.mobygames.com/game/5676/animaniacs/,"Action, Side view, Puzzle elements, Licensed, 2D scrolling"
32257,Arcade Classics,1996,,https://www.mobygames.com/game/32257/arcade-classics/,Compilation
13023,Arch Rivals,1992,6.05,https://www.mobygames.com/game/13023/arch-rivals/,"Sports, Side view, Basketball, 2D scrolling"
7807,Arcus Odyssey,1991,7.14,https://www.mobygames.com/game/7807/arcus-odyssey/,"Action, Isometric, Fantasy, Diagonal-down"
