ID,Title,Release Year,Moby Score,URL,Genres
76481,The $1 Zombie Game,2011,,https://www.mobygames.com/game/76481/the-1-zombie-game/,"Action, Shooter, Behind view"
42082,'Splosion Man,2009,8.12,https://www.mobygames.com/game/42082/splosion-man/,"Action, Side view, Platform, Puzzle elements, 3rd-person (Other), 2D scrolling, Direct control"
174269,'Splosion Man: Prologue to Ms. Splosion Man,2011,,https://www.mobygames.com/game/174269/splosion-man-prologue-to-ms-splosion-man/,"Add-on, Map / level"
50074,(Almost) Total Mayhem,2011,,https://www.mobygames.com/game/50074/almost-total-mayhem/,"Action, Side view, Platform, Fantasy"
46019,0 day Attack on Earth,2009,4.4,https://www.mobygames.com/game/46019/0-day-attack-on-earth/,"Action, Sci-fi / futuristic, Top-down, Shooter"
51645,007: Blood Stone,2010,6.84,https://www.mobygames.com/game/51645/007-blood-stone/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Stealth, Behind view, Direct control"
62371,007: Legends,2012,4.92,https://www.mobygames.com/game/62371/007-legends/,"Action, 1st-person, Shooter, Licensed, Spy / espionage, Stealth, Direct control"
164434,007: Legends - Eve,2012,,https://www.mobygames.com/game/164434/007-legends-eve/,"Add-on, Customization / outfit / skin"
164433,007: Legends - Patrice,2012,,https://www.mobygames.com/game/164433/007-legends-patrice/,"Add-on, Customization / outfit / skin"
164435,007: Legends - Skyfall Content Pack,2012,,https://www.mobygames.com/game/164435/007-legends-skyfall-content-pack/,"Add-on, Story / mission"
37461,007: Quantum of Solace,2008,6.73,https://www.mobygames.com/game/37461/007-quantum-of-solace/,"Action, 1st-person, Shooter, Licensed, Spy / espionage, Stealth, Behind view, Direct control, Quick Time Events (QTEs)"
38215,007: Quantum of Solace (Collector's Edition),2008,,https://www.mobygames.com/game/38215/007-quantum-of-solace-collectors-edition/,"Physical extras, Special edition"
47337,0D Beat Drop,2009,6.54,https://www.mobygames.com/game/47337/0d-beat-drop/,"Real-time, Puzzle, 3rd-person (Other), Fixed / flip-screen, Falling block puzzle"
52496,10 Amazingly Awful Games,2011,,https://www.mobygames.com/game/52496/10-amazingly-awful-games/,"Action, Racing / Driving, Sci-fi / futuristic, Arcade, Top-down, Side view, Shooter, Cards / tiles, Gambling, 3rd-person (Other)"
179141,10 Amazingly Awful Games Volume 2,2012,,https://www.mobygames.com/game/179141/10-amazingly-awful-games-volume-2/,"Action, Racing / Driving, Top-down, Side view, Platform, Shooter, Compilation, 2D scrolling, Fixed / flip-screen, Automobile"
48621,10 Seconds or Less,2010,,https://www.mobygames.com/game/48621/10-seconds-or-less/,Action
43094,1337 Ship Deathmatch,2009,,https://www.mobygames.com/game/43094/1337-ship-deathmatch/,"Action, Sci-fi / futuristic, Top-down, Shooter"
43118,15 Puzzle,2009,,https://www.mobygames.com/game/43118/15-puzzle/,Puzzle
7949,1942,2013,,https://www.mobygames.com/game/7949/1942/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
45762,1942: Joint Strike,2008,6.98,https://www.mobygames.com/game/45762/1942-joint-strike/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
8560,1943: The Battle of Midway,2013,,https://www.mobygames.com/game/8560/1943-the-battle-of-midway/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
179472,2 Jawsome,2012,,https://www.mobygames.com/game/179472/2-jawsome/,"Action, Naval / watercraft, Behind view, Direct control"
179558,20 Games To Play With Your Mates,2012,,https://www.mobygames.com/game/179558/20-games-to-play-with-your-mates/,"Action, Strategy / tactics, Sports, Racing / Driving, Sci-fi / futuristic, Top-down, Side view, Platform, Shooter, Board game, Football (European) / Soccer, Helicopter, Compilation, 2D scrolling, Automobile"
47085,2010 FIFA World Cup South Africa,2010,7.05,https://www.mobygames.com/game/47085/2010-fifa-world-cup-south-africa/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down, Direct control, Multiple units/characters control, Africa"
179623,2010: A New Threat,2011,,https://www.mobygames.com/game/179623/2010-a-new-threat/,"Action, Sci-fi / futuristic, Top-down, Shooter, Fixed / flip-screen, Space flight, Direct control"
103020,2012,2012,,https://www.mobygames.com/game/103020/2012/,"Action, Shooter, Puzzle elements, Diagonal-down, South America"
