ID,Title,Release Year,Moby Score,URL,Genres
4586,007: Licence to Kill,1989,7.25,https://www.mobygames.com/game/4586/007-licence-to-kill/,"Action, Racing / Driving, Arcade, Top-down, Shooter, Naval / watercraft, Helicopter, Licensed, Spy / espionage"
79633,07 Zgłoś Się,1993,,https://www.mobygames.com/game/79633/07-zgłos-sie/,"Adventure, 1st-person, Interactive fiction / text adventure, Detective / mystery, Text-based / Spreadsheet, Text parser, Contemporary, Europe"
96602,10 Adventure Game Pack Vol 2,1986,,https://www.mobygames.com/game/96602/10-adventure-game-pack-vol-2/,Compilation
32014,10 Computer Hits,1985,,https://www.mobygames.com/game/32014/10-computer-hits/,Compilation
32016,10 Computer Hits 2,1986,,https://www.mobygames.com/game/32016/10-computer-hits-2/,Compilation
33174,10 Computer Hits 3,1987,,https://www.mobygames.com/game/33174/10-computer-hits-3/,Compilation
25784,10 Computer Hits 4,1987,,https://www.mobygames.com/game/25784/10-computer-hits-4/,Compilation
34618,10 Computer Hits: Volume Five,1989,,https://www.mobygames.com/game/34618/10-computer-hits-volume-five/,Compilation
25383,10 Great Games 3,1988,,https://www.mobygames.com/game/25383/10-great-games-3/,Compilation
35047,10 Great Games II,1988,,https://www.mobygames.com/game/35047/10-great-games-ii/,Compilation
24488,10 Mega Games: Volume-One,1989,,https://www.mobygames.com/game/24488/10-mega-games-volume-one/,Compilation
35310,10 Mega Hits,1985,,https://www.mobygames.com/game/35310/10-mega-hits/,Compilation
68670,10 Pack,1991,,https://www.mobygames.com/game/68670/10-pack/,Compilation
68671,10 Titles for the Spectrum Plus,1986,,https://www.mobygames.com/game/68671/10-titles-for-the-spectrum-plus/,Compilation
79343,100,1995,,https://www.mobygames.com/game/79343/100/,"Top-down, Puzzle"
15202,100% Dynamite,1990,,https://www.mobygames.com/game/15202/100-dynamite/,Compilation
15116,10th Frame,1986,6.38,https://www.mobygames.com/game/15116/10th-frame/,"Sports, Bowling, Behind view, Fixed / flip-screen"
66042,123,1989,,https://www.mobygames.com/game/66042/123/,"Action, Compilation"
68136,17.11.1989,1989,,https://www.mobygames.com/game/68136/17111989/,"Adventure, Interactive fiction / text adventure, Text-based / Spreadsheet, Text parser, Contemporary, Europe"
68674,180,1984,,https://www.mobygames.com/game/68674/180/,"Sports, 1st-person"
20618,19 Part 1: Boot Camp,1988,7.06,https://www.mobygames.com/game/20618/19-part-1-boot-camp/,"Action, Racing / Driving, 1st-person, Side view, Shooter, Fighting, Licensed, Behind view, 2D scrolling"
7949,1942,1986,7.32,https://www.mobygames.com/game/7949/1942/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
82040,1942 Mission,1984,,https://www.mobygames.com/game/82040/1942-mission/,"Adventure, Interactive fiction / text adventure, Spy / espionage, Text-based / Spreadsheet, Europe, World War II"
68738,1942 • Batty,1989,,https://www.mobygames.com/game/68738/1942-batty/,Compilation
8560,1943: The Battle of Midway,1988,6.09,https://www.mobygames.com/game/8560/1943-the-battle-of-midway/,"Action, Arcade, Top-down, Shooter, 2D scrolling, World War II"
68681,1984: A Game of Government Management,1984,,https://www.mobygames.com/game/68681/1984-a-game-of-government-management/,"Strategy / tactics, Managerial / business simulation"
19124,1985: The Day After,1985,,https://www.mobygames.com/game/19124/1985-the-day-after/,"Action, Sci-fi / futuristic, Side view"
14261,1994 (Ten Years After),1983,,https://www.mobygames.com/game/14261/1994-ten-years-after/,"Action, Arcade, Side view, Platform, Fixed / flip-screen"
68683,1999,1987,,https://www.mobygames.com/game/68683/1999/,"Action, Sci-fi / futuristic, Side view, Shooter, Space flight"
12578,1st Division Manager,1991,,https://www.mobygames.com/game/12578/1st-division-manager/,"Sports, Top-down, Managerial / business simulation, Football (European) / Soccer"
20487,2 Hot 2 Handle,1991,,https://www.mobygames.com/game/20487/2-hot-2-handle/,Compilation
27702,2 Player Soccer Squad,1991,,https://www.mobygames.com/game/27702/2-player-soccer-squad/,"Strategy / tactics, Sports, Top-down, Managerial / business simulation, Football (European) / Soccer"
65902,20 Chart Busters,1988,,https://www.mobygames.com/game/65902/20-chart-busters/,Compilation
193474,20-Veld Rekenen,1984,,https://www.mobygames.com/game/193474/20-veld-rekenen/,"Educational, Math / logic"
63930,2088,1988,,https://www.mobygames.com/game/63930/2088/,"Action, Sci-fi / futuristic, Top-down, Shooter, Fixed / flip-screen, Direct control"
68702,2112AD,1985,,https://www.mobygames.com/game/68702/2112ad/,"Action, Sci-fi / futuristic, Side view, Puzzle elements, Fixed / flip-screen, Point and select, Direct control"
114853,2x1: Freddy Hardest / Phantis,1987,,https://www.mobygames.com/game/114853/2x1-freddy-hardest-phantis/,Compilation
66049,3 Deep Space,1983,,https://www.mobygames.com/game/66049/3-deep-space/,"Action, Sci-fi / futuristic, Side view, Shooter, Fixed / flip-screen"
80121,3-D Maze,1982,,https://www.mobygames.com/game/80121/3-d-maze/,"1st-person, Puzzle, Direct control"
68717,3-D Monster Chase,1983,,https://www.mobygames.com/game/68717/3-d-monster-chase/,"Action, 1st-person"
120458,3.5 Ins Micro Disc Software: Technician Ted / Heathrow International Air Traffic Control,1985,,https://www.mobygames.com/game/120458/35-ins-micro-disc-software-technician-ted-heathrow-international/,Compilation
54574,3D Bat Attack,1984,,https://www.mobygames.com/game/54574/3d-bat-attack/,"Action, 1st-person, Horror"
75078,3D Combat Zone,1983,,https://www.mobygames.com/game/75078/3d-combat-zone/,"Action, 1st-person, Sci-fi / futuristic, Arcade, Shooter, Tank"
59618,3D Defence,1987,,https://www.mobygames.com/game/59618/3d-defence/,"Action, 1st-person, Sci-fi / futuristic, Shooter, Space flight, Direct control"
46655,3D Desert Patrol,1983,,https://www.mobygames.com/game/46655/3d-desert-patrol/,"Action, Simulation, Racing / Driving, 1st-person, Real-time, Shooter, Tank"
24292,3D Lunattack,1984,,https://www.mobygames.com/game/24292/3d-lunattack/,"Action, 1st-person, Sci-fi / futuristic, Flight / aviation, Shooter"
74777,3D Painter,1983,,https://www.mobygames.com/game/74777/3d-painter/,"Action, Arcade, Top-down, Fixed / flip-screen"
15101,3D Seiddab Attack,1984,7.17,https://www.mobygames.com/game/15101/3d-seiddab-attack/,"Action, Simulation, 1st-person, Shooter, Tank"
