ID,Title,Release Year,Moby Score,URL,Genres
128752,! Chess !,2016,,https://www.mobygames.com/game/128752/chess/,"Strategy / tactics, Chess, Board game"
87536,!123,2016,,https://www.mobygames.com/game/87536/123/,Action
87701,!1∝0,2015,,https://www.mobygames.com/game/87701/10/,Puzzle
87704,!21!,2014,,https://www.mobygames.com/game/87704/21/,"Strategy / tactics, Cards / tiles, Gambling"
133954,!mpossible,2019,,https://www.mobygames.com/game/133954/mpossible/,"Game show / trivia / quiz, Licensed, Puzzle, Point and select"
159146,#DRIVE,2019,,https://www.mobygames.com/game/159146/drive/,"Racing / Driving, Arcade, Diagonal-down, Direct control, Automobile"
52701,"The $1,000,000 Pyramid",2011,,https://www.mobygames.com/game/52701/the-1000000-pyramid/,"Simulation, Game show / trivia / quiz, Licensed, 3rd-person (Other)"
61643,'Til Death Do Us Part,2013,,https://www.mobygames.com/game/61643/til-death-do-us-part/,"Adventure, Interactive fiction / text adventure, Role-playing (RPG), Add-on, Fantasy"
188864,*New* Scuffed Epic Visual Novel,2021,,https://www.mobygames.com/game/188864/new-scuffed-epic-visual-novel/,"Adventure, 1st-person, Visual novel, Fixed / flip-screen, Menu structures"
144072,.Decluster,2015,,https://www.mobygames.com/game/144072/decluster/,"Action, Sci-fi / futuristic, Arcade, Top-down, Flight / aviation, Shooter, 2D scrolling, Direct control"
144071,.Decluster Zero,2015,,https://www.mobygames.com/game/144071/decluster-zero/,"Action, Sci-fi / futuristic, Arcade, Top-down, Flight / aviation, Shooter, 2D scrolling, Direct control"
97837,.NOON.,2014,,https://www.mobygames.com/game/97837/noon/,"Action, Fixed / flip-screen"
154374,.projekt,2018,,https://www.mobygames.com/game/154374/projekt/,"Isometric, Puzzle, Diagonal-down, Fixed / flip-screen"
63968,1 Moment of Time: Silentville,2014,,https://www.mobygames.com/game/63968/1-moment-of-time-silentville/,"Adventure, 1st-person, Puzzle elements, Hidden object"
105126,1 Sound 1 Word,2013,,https://www.mobygames.com/game/105126/1-sound-1-word/,"Simulation, 1st-person, Game show / trivia / quiz, Fixed / flip-screen, Direct control"
