ID,Title,Release Year,Moby Score,URL,Genres
26414,.hack//G.U. Vol. 1//Rebirth,2006,7.42,https://www.mobygames.com/game/26414/hackgu-vol-1rebirth/,"Strategy / tactics, Role-playing (RPG), Anime / Manga, Licensed, 3rd-person (Other), Action RPG"
33604,.hack//G.U. Vol. 2//Reminisce,2007,6.76,https://www.mobygames.com/game/33604/hackgu-vol-2reminisce/,"Role-playing (RPG), Anime / Manga, Fantasy, 3rd-person (Other), Action RPG"
33606,.hack//G.U. Vol. 3//Redemption,2007,6.48,https://www.mobygames.com/game/33606/hackgu-vol-3redemption/,"Role-playing (RPG), Anime / Manga, 3rd-person (Other), Action RPG"
9050,.hack//Infection: Part 1,2002,7.25,https://www.mobygames.com/game/9050/hackinfection-part-1/,"Action, Role-playing (RPG), Anime / Manga, Fantasy, Persistent, 3rd-person (Other)"
9859,.hack//Mutation: Part 2,2002,7.36,https://www.mobygames.com/game/9859/hackmutation-part-2/,"Role-playing (RPG), Anime / Manga, Fantasy, Persistent, 3rd-person (Other), Action RPG"
10753,.hack//Outbreak: Part 3,2002,7.26,https://www.mobygames.com/game/10753/hackoutbreak-part-3/,"Role-playing (RPG), Anime / Manga, 3rd-person (Other), Action RPG"
10938,.hack//Quarantine: Part 4,2003,6.84,https://www.mobygames.com/game/10938/hackquarantine-part-4/,"Role-playing (RPG), Anime / Manga, Cyberpunk / dark sci-fi, 3rd-person (Other), Action RPG"
5798,007: Agent Under Fire,2001,7.11,https://www.mobygames.com/game/5798/007-agent-under-fire/,"Action, 1st-person, Shooter, Licensed, Spy / espionage"
12211,007: Everything or Nothing,2004,8.07,https://www.mobygames.com/game/12211/007-everything-or-nothing/,"Action, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
19879,007: From Russia with Love,2005,7.19,https://www.mobygames.com/game/19879/007-from-russia-with-love/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
7804,007: Nightfire,2002,7.45,https://www.mobygames.com/game/7804/007-nightfire/,"Action, Racing / Driving, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
142354,007: Quantum of Solace,2008,6.97,https://www.mobygames.com/game/142354/007-quantum-of-solace/,"Action, Shooter, Licensed, Spy / espionage, Behind view, Direct control"
134161,10 Pin: Champions Alley,2005,,https://www.mobygames.com/game/134161/10-pin-champions-alley/,"Sports, Bowling, Turn-based, Behind view, Direct control"
61899,10.000 Bullets,2005,,https://www.mobygames.com/game/61899/10000-bullets/,"Action, Shooter, Behind view"
77701,120-en no Haru: ¥120 Stories,2005,,https://www.mobygames.com/game/77701/120-en-no-haru-120-stories/,"Adventure, 1st-person, Anime / Manga, Visual novel, Romance"
82477,12Riven: The ΨCliminal of Integral,2008,,https://www.mobygames.com/game/82477/12riven-the-ψcliminal-of-integral/,"Adventure, 1st-person, Sci-fi / futuristic, Anime / Manga, Visual novel, Fixed / flip-screen"
24079,187: Ride or Die,2005,6.26,https://www.mobygames.com/game/24079/187-ride-or-die/,"Action, Racing / Driving, Behind view, Vehicular combat, Direct control, Automobile"
33095,1945 I & II: The Arcade Games,2004,,https://www.mobygames.com/game/33095/1945-i-ii-the-arcade-games/,"Action, Sci-fi / futuristic, Arcade, Top-down, Shooter, Compilation, 2D scrolling, World War II"
6498,2002 FIFA World Cup,2002,7.12,https://www.mobygames.com/game/6498/2002-fifa-world-cup/,"Sports, Football (European) / Soccer, Licensed, Diagonal-down, Direct control, Multiple units/characters control, Asia, Japan (Modern/Futuristic)"
162858,21 Card Games,2005,,https://www.mobygames.com/game/162858/21-card-games/,"Strategy / tactics, Cards / tiles, Gambling, Point and select"
22084,24: The Game,2006,6.47,https://www.mobygames.com/game/22084/24-the-game/,"Action, Racing / Driving, Shooter, Puzzle elements, Licensed, Behind view"
22727,25 to Life,2006,4.78,https://www.mobygames.com/game/22727/25-to-life/,"Action, Shooter, Stealth, Crime, Behind view, Direct control, Contemporary"
85308,3 LDK: Shiawase ni Narō yo (Shokai Genteiban),2004,,https://www.mobygames.com/game/85308/3-ldk-shiawase-ni-naro-yo-shokai-genteiban/,"Physical extras, Special edition"
4715,4x4 Evo,2001,6.7,https://www.mobygames.com/game/4715/4x4-evo/,"Simulation, Racing / Driving, 1st-person, Off-roading, Behind view, Direct control, Automobile"
14526,4x4 Evo 2,2003,,https://www.mobygames.com/game/14526/4x4-evo-2/,"Sports, Racing / Driving, 1st-person, Off-roading, Licensed, Behind view, Vehicle simulator, Automobile"
20457,50 Cent: Bulletproof,2005,5.33,https://www.mobygames.com/game/20457/50-cent-bulletproof/,"Action, Shooter, Licensed, Behind view"
59865,7 Blades,2000,6.5,https://www.mobygames.com/game/59865/7-blades/,"Action, Anime / Manga, Fantasy, Behind view"
19221,7 Sins,2005,5.49,https://www.mobygames.com/game/19221/7-sins/,"Simulation, Real-time, Adult, 3rd-person (Other), Mini-games"
32004,7 Wonders of the Ancient World,2007,,https://www.mobygames.com/game/32004/7-wonders-of-the-ancient-world/,"Side view, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle, Point and select, Egypt (Ancient), Classical antiquity, Middle East"
84052,_summer##,2006,,https://www.mobygames.com/game/84052/_summer/,"Adventure, 1st-person, Anime / Manga, Visual novel, Romance, Fixed / flip-screen"
147702,A Ressha de Ikō 2001,2001,,https://www.mobygames.com/game/147702/a-ressha-de-iko-2001/,"Simulation, Managerial / business simulation, Train, Diagonal-down, 2D scrolling, Point and select, Transport, Contemporary"
148605,A Ressha de Ikō 2001: Perfect Set,2002,,https://www.mobygames.com/game/148605/a-ressha-de-iko-2001-perfect-set/,Compilation
30299,A Train 6,2000,,https://www.mobygames.com/game/30299/a-train-6/,"Simulation, Strategy / tactics, Managerial / business simulation, Train, 3rd-person (Other)"
70396,Aa Megami-sama,2007,,https://www.mobygames.com/game/70396/aa-megami-sama/,"Adventure, Puzzle elements, Anime / Manga, Fantasy, Licensed, 3rd-person (Other)"
59227,Abarenbō Princess,2001,,https://www.mobygames.com/game/59227/abarenbo-princess/,"Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, 3rd-person (Other)"
62822,AC/DC Fan Pack,2008,,https://www.mobygames.com/game/62822/acdc-fan-pack/,"Physical extras, Special edition"
39315,AC/DC Live: Rock Band - Track Pack,2008,,https://www.mobygames.com/game/39315/acdc-live-rock-band-track-pack/,"Action, Simulation, Licensed, Music / rhythm, 3rd-person (Other), Cinematic camera"
6192,Ace Combat 04: Shattered Skies,2001,8.12,https://www.mobygames.com/game/6192/ace-combat-04-shattered-skies/,"Action, 1st-person, Flight / aviation, Shooter, Licensed, Behind view, Vehicular combat"
19548,Ace Combat 5: The Unsung War,2004,8.06,https://www.mobygames.com/game/19548/ace-combat-5-the-unsung-war/,"Action, 1st-person, Flight / aviation, Shooter, Behind view, Vehicle simulator"
27651,Ace Combat Zero: The Belkan War,2006,7.58,https://www.mobygames.com/game/27651/ace-combat-zero-the-belkan-war/,"Action, 1st-person, Arcade, Flight / aviation, Vehicular combat"
21109,Ace Lightning,2003,,https://www.mobygames.com/game/21109/ace-lightning/,"Action, Platform, Licensed, Behind view"
67423,Aces of War,2004,,https://www.mobygames.com/game/67423/aces-of-war/,"Simulation, 1st-person, Historical events, Flight / aviation, Shooter, Vehicular combat, World War II"
73518,Action Girlz Racing,2006,,https://www.mobygames.com/game/73518/action-girlz-racing/,"Racing / Driving, Arcade, Behind view, Vehicle simulator, Automobile, Track racing"
72638,Action Man: A.T.O.M. - Alpha Teens on Machines,2007,,https://www.mobygames.com/game/72638/action-man-atom-alpha-teens-on-machines/,"Action, Racing / Driving, Shooter, Licensed, Behind view, Vehicular combat"
7831,Activision Anthology,2002,7.39,https://www.mobygames.com/game/7831/activision-anthology/,Compilation
42720,ADK Tamashii,2008,,https://www.mobygames.com/game/42720/adk-tamashii/,"Action, Arcade, Top-down, Side view, Shooter, Isometric, Martial arts, Fighting, Anime / Manga, Compilation"
203673,Adventure of Tokyo Disney Sea: Ushinawareta Hōseki no Himitsu,2001,,https://www.mobygames.com/game/203673/adventure-of-tokyo-disney-sea-ushinawareta-hoseki-no-himitsu/,"Action, Fantasy, Licensed, Behind view, Mini-games, Direct control, Japan (Modern/Futuristic)"
4706,The Adventures of Cookie & Cream,2000,7.31,https://www.mobygames.com/game/4706/the-adventures-of-cookie-cream/,"Action, Top-down, Puzzle elements"
46834,The Adventures of Darwin,2006,6.24,https://www.mobygames.com/game/46834/the-adventures-of-darwin/,"Action, Puzzle elements, Fantasy, Diagonal-down"
23662,The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,2004,6.76,https://www.mobygames.com/game/23662/the-adventures-of-jimmy-neutron-boy-genius-attack-of-the-twonkie/,"Action, Puzzle elements, Fantasy, Licensed, Behind view"
81095,The Adventures of Jimmy Neutron: Boy Genius - Jet Fusion,2003,,https://www.mobygames.com/game/81095/the-adventures-of-jimmy-neutron-boy-genius-jet-fusion/,"Action, Sci-fi / futuristic, Flight / aviation, Platform, Shooter, Mecha / giant robot, Fantasy, Licensed, Spy / espionage, Bike / bicycling, Comedy, 3rd-person (Other), Behind view, Free camera, Contemporary"
34835,Aero Elite: Combat Academy,2002,6.4,https://www.mobygames.com/game/34835/aero-elite-combat-academy/,"Simulation, 1st-person, Flight / aviation, Licensed, 3rd-person (Other), Vehicular combat"
10499,AFL Live 2003,2002,,https://www.mobygames.com/game/10499/afl-live-2003/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
10500,AFL Live 2004,2003,,https://www.mobygames.com/game/10500/afl-live-2004/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
18155,AFL Live: Premiership Edition,2004,,https://www.mobygames.com/game/18155/afl-live-premiership-edition/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
19681,AFL Premiership 2005,2005,,https://www.mobygames.com/game/19681/afl-premiership-2005/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
23214,AFL Premiership 2006,2006,6.92,https://www.mobygames.com/game/23214/afl-premiership-2006/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
28856,AFL Premiership 2007,2007,,https://www.mobygames.com/game/28856/afl-premiership-2007/,"Sports, Licensed, Diagonal-down, 2D scrolling, Oceania"
63197,After...: Wasureenu Kizuna,2004,,https://www.mobygames.com/game/63197/after-wasureenu-kizuna/,"Adventure, 1st-person, Anime / Manga, Visual novel"
63199,After...: Wasureenu Kizuna (Shokai Genteiban),2004,,https://www.mobygames.com/game/63199/after-wasureenu-kizuna-shokai-genteiban/,"Physical extras, Special edition"
24125,Agassi Tennis Generation 2002,2002,5.86,https://www.mobygames.com/game/24125/agassi-tennis-generation-2002/,"Sports, Tennis, Licensed, Behind view"
368,Age of Empires II: The Age of Kings,2001,7.32,https://www.mobygames.com/game/368/age-of-empires-ii-the-age-of-kings/,"Strategy / tactics, Historical events, Real-time, Isometric, Diagonal-down, Free camera, Point and select, Multiple units/characters control, Asia, Europe, Medieval, Middle East, Real-time strategy (RTS)"
141865,Agent Collection,2005,,https://www.mobygames.com/game/141865/agent-collection/,Compilation
29746,Agent Hugo,2005,,https://www.mobygames.com/game/29746/agent-hugo/,"Action, Racing / Driving, Platform, Licensed, Behind view"
81315,Agent Hugo: Hula Holiday,2008,,https://www.mobygames.com/game/81315/agent-hugo-hula-holiday/,"Action, Platform, Fantasy, Licensed, Behind view"
81311,Agent Hugo: Lemoon Twist,2007,,https://www.mobygames.com/game/81311/agent-hugo-lemoon-twist/,"Action, Platform, Fantasy, Licensed, Behind view"
27423,Agent Hugo: RoboRumble,2006,,https://www.mobygames.com/game/27423/agent-hugo-roborumble/,"Action, Racing / Driving, Arcade, Platform, Licensed, Behind view"
6995,Aggressive Inline,2002,8.36,https://www.mobygames.com/game/6995/aggressive-inline/,"Sports, Skateboarding, Licensed, Tricks / stunts, Behind view"
24746,AH-64 Apache Air Assault,2005,,https://www.mobygames.com/game/24746/ah-64-apache-air-assault/,"Simulation, 1st-person, Top-down, Helicopter, Licensed, Diagonal-down, Vehicular combat"
100026,Ai yori Aoshi,2003,,https://www.mobygames.com/game/100026/ai-yori-aoshi/,"Adventure, Anime / Manga, Licensed, Comedy, Romance, Fixed / flip-screen, Mini-games"
100678,Aikagi: Nukumori to Hidamari no Naka de,2003,,https://www.mobygames.com/game/100678/aikagi-nukumori-to-hidamari-no-naka-de/,"Adventure, 1st-person, Anime / Manga, Visual novel, Romance, Fixed / flip-screen, Japanese-style adventure"
14179,Air,2002,,https://www.mobygames.com/game/14179/air/,"Adventure, 1st-person, Anime / Manga, Adult, Visual novel, Romance, Japan (Ancient/Classical/Medieval), Japan (Modern/Futuristic)"
104025,Air Raid 3,2006,,https://www.mobygames.com/game/104025/air-raid-3/,"Action, Flight / aviation, Shooter, Behind view, Vehicular combat, Direct control, Africa, Asia, Europe, South America"
227466,Air Ranger 2 Plus: Rescue Helicopter,2003,,https://www.mobygames.com/game/227466/air-ranger-2-plus-rescue-helicopter/,"Action, Simulation, Helicopter, Behind view, Vehicle simulator"
227463,Air Ranger 2: Rescue Helicopter,2002,,https://www.mobygames.com/game/227463/air-ranger-2-rescue-helicopter/,"Action, Simulation, Helicopter, Behind view, Vehicle simulator"
72699,Air Ranger: Rescue Helicopter,2001,,https://www.mobygames.com/game/72699/air-ranger-rescue-helicopter/,"Action, Simulation, 1st-person, Helicopter, 3rd-person (Other), Vehicle simulator"
40807,AirBlade,2001,7.08,https://www.mobygames.com/game/40807/airblade/,"Action, Sports, Sci-fi / futuristic, Arcade, Tricks / stunts, Behind view"
73902,Airborne Troops: Countdown to D-Day,2004,5.51,https://www.mobygames.com/game/73902/airborne-troops-countdown-to-d-day/,"Action, Historical events, Shooter, War, Behind view, World War II"
47411,AirForce Delta Strike,2004,6.57,https://www.mobygames.com/game/47411/airforce-delta-strike/,"Action, Simulation, 1st-person, Sci-fi / futuristic, Flight / aviation, Behind view, Vehicular combat"
